Description_A_Propos,Lien
"Vue à couper le souffle pour ce T3 bis de 77m² au 4ème étage d'un petit immeuble de canut sans ascenseur. Idéalement situé proche du boulevard de la Croix-Rousse, il comprend une vaste pièce de séjour plein Sud incluant un coin bureau et une mezzanine de lecture, une grande chambre exposée Sud et Ouest, un bureau avec couchage d'appoint en mezzanine, une cuisine indépendante, salle de bains et Wc séparés. Convecteurs électriques neufs. Zone soumise à l'encadrement des loyers. Loyer de base 1084,71€ - Loyer majoré 1300€ - Dpe en E - Consommation estimée entre 1870€ et 2580€ base 2022. Honoraires de location 500€ et d'état des lieux 100€. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-1/Ay08jjolu2ksdahn
Appartement En Dernier Etage D'un Immeuble Ancien Sans Ascenseur Comprenant : Entree - Sejour - Cuisine Amenagee Et Equipee Avec Plaque Vitroceramique / Refrigerateur / Lave-Linge Lave-Vaisselle - Deux Chambres - Salle De Bains - Wc Independants Chauffage Indi... Voir plus sur seloger.com,https://www.vizzit.fr/fr/property/appartement/lyon-2/Aogl2f4encze916i
"Bumper vous propose à la location un appartement T2bis entièrement meublé situé au 6ème et dernier étage d'un immeuble idéalement situé au coeur du Vieux Lyon. L'appartement se compose : - D'une entrée, -D'un séjour lumineux avec vue sur la Cathédrale Saint Jean, les tours de La Part Dieu et de la Basilique de Fourvière, -D'une cuisine ouverte, -D'une chambre avec placard mural, -D'une pièce de moins de 9m2 pouvant faire office de bureau ou de chambre, -D'une salle d'eau, -Et des Wc séparés Les points d'intérêts La station de métro Vieux Lyon (ligne D et funiculaires) au pied de l'immeuble, à 10min à pied de la place Bellecour, au coeur du quartier historique du Vieux Lyon. Garantie Visale acceptée. Disponible à partir du . Honoraires de 633 euros Ttc à la charge du locataire comprenant 487 euros Ttc pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 930.93 euros/mois. Loyer de base 930 euros/mois. Provision sur charges 50 euros/mois, régularisation annuelle. Complément de loyer 25 euros/mois. Dépôt de garantie 1 910 euros. Classe énergie E, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 840.00 et 1170.00 euros. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : . Votre conseiller Bumper Immobilier : Jérémie Dumont Agent commercial (Entreprise individuelle)",https://www.vizzit.fr/fr/property/appartement/lyon-5/Aohilxgc5tk3zpap
"En Exclusivité Et Sans Frais D'agence Ref: 103216 Dispo De Suite ! Montant du loyer Hc 1 177,49 euros, montant des charges 127,67 euros (comprennent les provisions d'ascenseur et l'entretien des communs). Loyer Cc 1 299,16 euros. Spacieux T3 de 98m² au 2e ét... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-2/A1wa2b6lhpoiskfq
"Nous vous précisons qu'une pré-étude de votre dossier sera effectuée avant l'organisation d'une visite sur place. Pour déposer votre dossier, rendez-vous directement sur notre site internet, sur la page de l'annonce via le bouton 'Déposer ma candidature en lig... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-7/Auc9r577czu72bec
"A voir ce F3, au 7e étage avec ascenseur, avec une belle vue, en bon état, il se compose d'un grand séjour donnant sur un petit balcon, une petite cuisine, 2 chambres avec placards, une petite salle d'eau et 1 Wc. Vous avez un garage sur cour à 2mn à pied. L'eau froide est comprise dans les charges avec régularisation annuelle. Le chauffage est assuré par des convecteurs électriques et les fenêtres sont à double vitrage. Le sol est en carrelage et parquets flottants. Il est à proximité du tramway T1, du bus Tb11, de la Part-dieu, du Parc de le Tête D'or et de tous commerces. Charges du locataire : 65€ Zone soumise à encadrements des loyers Loyer de base : 722.04€€ Loyer de base majoré : 866.45€ Complément de loyer : 19.55€ garage Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-6/A2r2ghc15naxcu6n
"Location Meublee Lyon 2ème - Dans un bel immeuble ancien, appartement T1 duplex rénové, au quatrième étage avec ascenseur, composé d'une entrée avec un placard, cuisine équipée ouverte sur séjour, Wc indépendant. A l'étage une mezzanine composée d'une chambre, sa... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-2/A41bkv4q2243we2s
"La Régie Agis vous propose à la location un appartement meublé de 35,38 m², situé au 3ème étage avec ascenseur. Il se compose d'une entrée desservant une cuisine, une pièce principale ainsi qu'une salle de bains avec Wc. L'appartement bénéficie d'une situation idé... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-6/Anf2lyesv7byipyi
"La Régie Agis vous propose à la location un appartement meublé de 35,38 m², situé au 2ème étage avec ascenseur. Il se compose d'une entrée desservant une cuisine, une pièce principale ainsi qu'une salle de bains avec Wc. L'appartement bénéficie d'une situation idé... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-6/A7932d2198wpl52e
"Ref. : 2Pelletier - T2 Disponible de suite Situé au 2e étage d'un immeuble en copropriété (sans ascenseur), ce bel appartement T2 meublé de 42,85 m² (39.75 m² en surface Carrez) saura vous séduire par son agencement fonctionnel et son atmosphère chaleureuse. ... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-4/Aj36yc3h5u0agqwo
