Lieu,Prix,Details,Description_A_Propos,Lien,Addr_Regex,Addr_NLP,Adresse_Finale
Lyon 1er (69001),1 290 €,77 m² - 3 pièces,"Vue à couper le souffle pour ce T3 bis de 77m² au 4ème étage d'un petit immeuble de canut sans ascenseur. Idéalement situé proche du boulevard de la Croix-Rousse, il comprend une vaste pièce de séjour plein Sud incluant un coin bureau et une mezzanine de lecture, une grande chambre exposée Sud et Ouest, un bureau avec couchage d'appoint en mezzanine, une cuisine indépendante, salle de bains et Wc séparés. Convecteurs électriques neufs. Zone soumise à l'encadrement des loyers. Loyer de base 1084,71€ - Loyer majoré 1300€ - Dpe en E - Consommation estimée entre 1870€ et 2580€ base 2022. Honoraires de location 500€ et d'état des lieux 100€. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-1/Ay08jjolu2ksdahn,,,
Lyon 3ème (69003),1 371 €,74 m² - 3 pièces,"Appartement 3 pièces meublé Lyon 3ème - Oralia vous propose la location au 65 Cours Gambetta Lyon 3ème un appartement meublé de 74,10 m2 situé au 3ème étage avec ascenseur. Il est composé d'une entrée, un séjour, une cuisine équipée et meublée, deux chambres, un cellier , une salle de bains, et des toilettes séparés. L'appartement bénéficie d'un balcon et d'un garage en sous-sol. Chauffage : Individuel gaz Eau chaude : Individuelle gaz Eau froide : Individuelle Libre Le Important ! Pour vous permettre de visiter le bien il convient de déposer votre dossier au préalable sur lien directement sur l'annonce. Loyer de 1 371,00 euros par mois charges comprises dont 75,00 euros par mois de provision pour charges (soumis la régularisation annuelle). Les honoraires charge locataire sont de 822,51 euros ( soit 11,10 euros/m² ) dont 224,52 euros pour état des lieux ( soit 3,03 euros/m² ). Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 950 et 1330 euros. Prix moyens des énergies indexés en 2021. Zone soumise encadrement des loyers. Le loyer de base du bien proposé est de 1296 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 1296,75 euros",https://www.vizzit.fr/fr/property/appartement/lyon-3/A209s677ncbws308,65 Cours Gambetta,65 Cours Gambetta Lyon 3ème un appartement meublé de 74,65 Cours Gambetta
Lyon 3ème (69003),569 €,25 m² - 1 pièce,"Dauphiné lacassagne,proximité tramway, rue Feuillat, appartement de type 1 de 25.02 m² au 4ème étage avec ascenseur, lumineux, séjour avec grand balcon, cuisine meublée et équipée, salle d'eau, chauffage et eau collectifs compris dans les charges, disponible de suite~Assurance habitation (facultative) à partir de 11.68 euros par mois. Zone soumise à encadrement des loyers : Loyer de base : 497.5 euros. Loyer de référence majoré (loyer de base à ne pas dépasser) : 497.50 euros. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le Site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-3/Aqgegtqk6re9eyit,rue Feuillat,,rue Feuillat
Lyon 8ème (69008),750 €,31 m² - 2 pièces,"Lyon 8, rue Jules Cambon. Venez visiter cet appartement T2 d'une superifcie de 31m2 entièrmeent refait à neuf et équipé. Situé au rez-de-chaussée d'une maison cossue, cet appartement vous séduira par son état impeccable et ses nombreux équipements. La pièce de vie mesure 19m2 avec un espace cuisine comprenant four, lave vaisselle, plaque, micro onde et est parfaitement aménagé avec son espace mange debout, Le séjour est composé d'un canapé, d'une table basse et d'une télévision. Coté nuit, vous apprécierez la chambre avec son lit double, de nombreux rangements et accès direct sur la salle d'eau avec douche à l'italienne et Wc, le tout dans un état neuf. Le loyer de référence pour ce logement est de 14,20€ par m², soit pour 30,8m², un loyer de 437,36€ hors charges. Le plafond (correspondant à 20% de plus que le loyer de référence) à ne pas dépasser pour ce logement est de 17,00€ par m², soit pour 30,8m², un loyer de 523,60€ hors charges. Un complément de loyer 126,40€ est appliqué en raison des ses nombreux équipements et de leur état neuf. Loyer de 650€ + 100€ de charges mensuelles comprenant l'eau, l'électricité et internet. Honoraires d'agence de 403€. A visiter sans attendre",https://www.vizzit.fr/fr/property/appartement/lyon-8/Axpjoka22v7tzcmg,"8, rue Jules Cambon","8, rue Jules Cambon","8, rue Jules Cambon"
Lyon 2ème (69002),1 170 €,66 m² - 3 pièces,Appartement En Dernier Etage D'un Immeuble Ancien Sans Ascenseur Comprenant : Entree - Sejour - Cuisine Amenagee Et Equipee Avec Plaque Vitroceramique / Refrigerateur / Lave-Linge Lave-Vaisselle - Deux Chambres - Salle De Bains - Wc Independants Chauffage Indi... Voir plus sur seloger.com,https://www.vizzit.fr/fr/property/appartement/lyon-2/Aogl2f4encze916i,,,
Lyon 5ème (69005),1 005 €,48 m² - 2 pièces,"Bumper vous propose à la location un appartement T2bis entièrement meublé situé au 6ème et dernier étage d'un immeuble idéalement situé au coeur du Vieux Lyon. L'appartement se compose : - D'une entrée, -D'un séjour lumineux avec vue sur la Cathédrale Saint Jean, les tours de La Part Dieu et de la Basilique de Fourvière, -D'une cuisine ouverte, -D'une chambre avec placard mural, -D'une pièce de moins de 9m2 pouvant faire office de bureau ou de chambre, -D'une salle d'eau, -Et des Wc séparés Les points d'intérêts La station de métro Vieux Lyon (ligne D et funiculaires) au pied de l'immeuble, à 10min à pied de la place Bellecour, au coeur du quartier historique du Vieux Lyon. Garantie Visale acceptée. Disponible à partir du . Honoraires de 633 euros Ttc à la charge du locataire comprenant 487 euros Ttc pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 930.93 euros/mois. Loyer de base 930 euros/mois. Provision sur charges 50 euros/mois, régularisation annuelle. Complément de loyer 25 euros/mois. Dépôt de garantie 1 910 euros. Classe énergie E, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 840.00 et 1170.00 euros. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : . Votre conseiller Bumper Immobilier : Jérémie Dumont Agent commercial (Entreprise individuelle)",https://www.vizzit.fr/fr/property/appartement/lyon-5/Aohilxgc5tk3zpap,,,
Lyon 1er (69001),790 €,47 m² - 1 pièce,"A Louer - Lyon 1er - Rue de l'Annonciade, à 5 minutes à pied de la Place des Terreaux, proche toutes commodités et du métro Hôtel de Ville, appartement F1 rénové de 47.67 m² et de 59.35 m² de surface au sol, avec mezzanine inférieure à 1.80 m², au rez de chaussée surélevé sur cour, comprenant une entrée avec rangements, un coin buanderie avec une machine à laver le linge , frigo et petit lave vaisselle, une cuisine équipée avec meubles hauts et bas, une plaque électrique 2 feux, une hotte, un four micro ondes avec une fenêtre sans vis à vis, un séjour avec une mezzanine, douche et Wc . Chauffage par cheminée centrale électrique et bains à huile, climatisation portative. Eau individuelle électrique par cumulus. Visiophone Zone Soumise A Encadrement Des Loyers : Prix ref : 17 €/m². Prix majoré : 20.40 €/m² Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-1/A4sv9d06fewhk0rc,Rue de l'Annonciade,Rue de l'Annonciade,Rue de l'Annonciade
Lyon 3ème (69003),850 €,57 m² - 2 pièces,"A Louer - Lyon 3 - Cours Gambetta , très bel appartement entièrement rénové de type T2 de 57.87m² Situé au coeur d'un secteur central et recherché du 3 € arrondissement de Lyon, bénéficie d'un emplacement privilégié, à proximité immédiate du métro ligne D, station Guillotière, des commerces, des transports et de l'Université Jean Moulin. Implanté au 4éme étage avec ascenseur d'un immeuble bien entretenu, équipé de la Fibre, l'appartement offre de beaux volumes, une circulation fluide et une agréable luminosité. Se composant comme s'ensuit: une entrée, un séjour lumineux avec parquet, offrant un espace de vie confortable et chaleureux, une cuisine indépendante aménagée et équipée ( plaques, hotte, rangements) , une chambre de belle superficie, calme et propice au repos, une salle de bains fonctionnelle, un Wc séparé, apportant un réel confort au quotidien. Chauffage individuel au gaz, garantissant une gestion autonome et optimisée des consommations énergétiques. Environnement : quartier dynamique et vivant, à proximité immédiate des commerces de bouche, établissements scolaires, universités, restaurants et axes de transports, tout en conservant un cadre de vie agréable. Zone soumise à l'encadrement des loyers : Loyer médian :14,10 €/m² Loyer majoré : 16,90 €/m² Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-3/Ahnlmvbxa3k23zaq,Cours Gambetta,,Cours Gambetta
Lyon 6ème (69006),1 200 €,60 m² - 2 pièces,"Idéalement situé, Rue Vauban. A proximité de la Rue Garibaldi, des commerces, des transports, du centre commercial de La Part Dieu a 10 minutes environ à pied. Appartement entièrement meublé au 1er étage sans ascenseur. Il se compose d'une belle pièce de vie trave... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-6/A4y4jb2mhrljh5ag,Rue Vauban,Rue Vauban,Rue Vauban
Lyon 2ème (69002),1 305 €,98 m² - 3 pièces,"En Exclusivité Et Sans Frais D'agence Ref: 103216 Dispo De Suite ! Montant du loyer Hc 1 177,49 euros, montant des charges 127,67 euros (comprennent les provisions d'ascenseur et l'entretien des communs). Loyer Cc 1 299,16 euros. Spacieux T3 de 98m² au 2e ét... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-2/A1wa2b6lhpoiskfq,,,
