Titre,Prix,Lieu_Surface,Lien,Image,DerniereVue,Description
Appartement F2 à louer,690 € par mois charges comprises,"LILLE  59 62,43 m2, 2 pièces Ref : 1532",https://www.century21.fr/trouver_logement/detail/16985091654/,https://www.century21.fr/imagesBien/s3/202/3393/c21_202_3393_1532_8_C4F0FD5A-76F4-43F3-8502-BCF9E85A6CF7.jpg,2026-09-25,"Century 21 LM immobilier vous invite à habiter ce bel appartement de Type 2 de 62m2 comprenant une entrée, un séjour de 25m2, une cuisine indépendante équipée et aménagée, une salle de bain avec baignoire et wc, et une chambre spacieuse. Vous profitez également d'un local à vélo ou à 2 roues, sécurisé. Situé proche du Métro Fives (3 stations de la gare Lille Flandres), Rue Pierre Legrand, à proximité du nouvel écoquartier Fives Cail, commerces et bus... Libre à partir du 1er Novembre !"
Appartement F2 à louer,690 € par mois charges comprises,"LILLE  59 62,43 m2, 2 pièces Ref : 1532",https://www.century21.fr/trouver_logement/detail/16985091654/?came_from=/annonces/f/location-maison-appartement/v-lille/,,2026-09-25,"Century 21 LM immobilier vous invite à habiter ce bel appartement de Type 2 de 62m2 comprenant une entrée, un séjour de 25m2, une cuisine indépendante équipée et aménagée, une salle de bain avec baignoire et wc, et une chambre spacieuse. Vous profitez également d'un local à vélo ou à 2 roues, sécurisé. Situé proche du Métro Fives (3 stations de la gare Lille Flandres), Rue Pierre Legrand, à proximité du nouvel écoquartier Fives Cail, commerces et bus... Libre à partir du 1er Novembre !"
Maison à louer,2 050 € par mois charges comprises,"LILLE  59 97,90 m2, 4 pièces Ref : 2627",https://www.century21.fr/trouver_logement/detail/16978182576/,https://www.century21.fr/imagesBien/s3/202/3399/c21_202_3399_2627_8_B67D6068-FAD8-44A9-999B-F22BF6EB3279.jpg,2026-09-25,"Century 21 vous présente une charmante maison meublée de 4 pièces en copropriété, située en plein cœur du Vieux-Lille, rue de la Rapine, à seulement 50 mètres de la place Louise de Bettignies et à 10 minutes à pied de la gare Lille Flandres. Au rez-de-chaussée, l'entrée dessert un salon avec cheminée, ainsi qu'une salle de douche et des WC séparés, idéal pour accueillir vos invités, et une jolie terrasse de 33 m² pour profiter de l'extérieur. Au premier étage, l'espace de vie lumineux comprend une cuisine américaine ouverte sur le séjour et le coin salon, parfait pour partager des moments conviviaux. Au deuxième étage, vous trouverez les deux chambres ainsi qu'une salle de bains avec douche et baignoire. La maison dispose également d'un garage accessible depuis l'intérieur et d'une cave pour vos rangements. Située dans un quartier dynamique, vous profitez des commerces, cafés et restaurants ainsi que des parcs et jardins à proximité. Les transports en commun sont facilement accessibles, facilitant vos déplacements dans Lille. Cette maison meublée combine charme, confort et praticité et est prête à vous accueillir dès maintenant Pour organiser votre visite, nous vous invitons à vous rendre sur notre site century21-vieux-lille.com, sélectionner le bien qui vous intéresse puis cliquer sur l'onglet rose « Planifier une visite et déposer mon dossier ». Vous pourrez y renseigner vos informations et, si vous le souhaitez, ajouter les pièces de votre dossier afin de faciliter l'étude de votre candidature et l'organisation des visites. Notre équipe vous recontactera ensuite rapidement."
Maison à louer,2 050 € par mois charges comprises,"LILLE  59 97,90 m2, 4 pièces Ref : 2627",https://16978182576.century21.fr/,,2026-09-25,
Appartement F2 à louer,795 € par mois charges comprises,"LILLE  59 52,12 m2, 2 pièces Ref : 1514",https://www.century21.fr/trouver_logement/detail/16811684640/,https://www.century21.fr/imagesBien/s3/202/3393/c21_202_3393_1514_8_40C509DE-C855-427F-9EE8-F35C1CFF50A8.jpg,2026-09-25,"Century21 LM immobilier vous propose à la location, cet appartement Type 2 de 52m2 situé dans une résidence sécurisée. A 2 pas du Métro Marbrerie, cet appartement dispose d'une entrée avec placard et WC, une pièce de vie lumineuse donnant sur un long bal exposé sud. La cuisine indépendante est aménagée. La chambre de 13m2 dispose d'un dressing. L'appartement possède une cave et un garage. Les charges comprennent l'eau chaude et froide, le chauffage et l'entretien des parties communes (ascenseur) L'appartement sera disponible au 1er Octobre"
Appartement F2 à louer,795 € par mois charges comprises,"LILLE  59 52,12 m2, 2 pièces Ref : 1514",https://www.century21.fr/trouver_logement/detail/16811684640/?came_from=/annonces/f/location-maison-appartement/v-lille/,,2026-09-25,"Century21 LM immobilier vous propose à la location, cet appartement Type 2 de 52m2 situé dans une résidence sécurisée. A 2 pas du Métro Marbrerie, cet appartement dispose d'une entrée avec placard et WC, une pièce de vie lumineuse donnant sur un long bal exposé sud. La cuisine indépendante est aménagée. La chambre de 13m2 dispose d'un dressing. L'appartement possède une cave et un garage. Les charges comprennent l'eau chaude et froide, le chauffage et l'entretien des parties communes (ascenseur) L'appartement sera disponible au 1er Octobre"
Maison à louer,1 000 € par mois charges comprises,"LILLE  59 95,83 m2, 5 pièces Ref : 1528",https://www.century21.fr/trouver_logement/detail/16961408958/,https://www.century21.fr/imagesBien/s3/202/3393/c21_202_3393_1528_8_EC584D70-1E5A-4A6D-8AA4-4012A8E7997D.jpg,2026-09-25,"Maison à Louer - Lille Fives - 95,83m² À découvrir sur Lille Fives, à proximité de l'eco quartier Fives Cail, cette agréable maison familiale de près de 96 m², lumineuse et offrant de beaux volumes. Elle se compose d'une grande pièce de vie d'environ 28m², d'une cuisine équipée, d'une grande salle de bains avec baignoire et douche, ainsi que de 3 chambres, dont une spacieuse chambre de plus de 16 m². Les plus : Beaux volumes, belles luminosité, parquet et cave. Bail mobilité de 2 ans"
Maison à louer,1 000 € par mois charges comprises,"LILLE  59 95,83 m2, 5 pièces Ref : 1528",https://www.century21.fr/trouver_logement/detail/16961408958/?came_from=/annonces/f/location-maison-appartement/v-lille/,,2026-09-25,"Maison à Louer - Lille Fives - 95,83m² À découvrir sur Lille Fives, à proximité de l'eco quartier Fives Cail, cette agréable maison familiale de près de 96 m², lumineuse et offrant de beaux volumes. Elle se compose d'une grande pièce de vie d'environ 28m², d'une cuisine équipée, d'une grande salle de bains avec baignoire et douche, ainsi que de 3 chambres, dont une spacieuse chambre de plus de 16 m². Les plus : Beaux volumes, belles luminosité, parquet et cave. Bail mobilité de 2 ans"
Appartement T2 à louer,895 € par mois charges comprises,"LILLE  59 46,50 m2, 2 pièces Ref : 2616",https://www.century21.fr/trouver_logement/detail/16935250866/,https://www.century21.fr/imagesBien/s3/202/3399/c21_202_3399_2616_8_E11DCA1E-B9FA-4451-98D8-174E8F8D9DF9.jpg,2026-09-25,"Century 21 Vieux-Lille vous propose à la location, ce grand T2, situé rue Saint-Sébastien et rue de Saint-André, dans une résidence sécurisée avec ascenseur. Il est situé au 3ème étage de l'immeuble et se compose d'une entrée avec rangement, d'un séjour lumineux, d'une cuisine aménagée et équipée qui donne accès à une loggia, d'une chambre ainsi que d'une salle d'eau avec WC. L'appartement dispose d'une place de parking privative sécurisée et d'une cave. Disponible le 1er octobre!"
Appartement T2 à louer,895 € par mois charges comprises,"LILLE  59 46,50 m2, 2 pièces Ref : 2616",https://16935250866.century21.fr/,,2026-09-25,
