Titre_Lieu,Prix,Infos,Lien,Image,DerniereVue,Quartier,Description
EXCLUSIVITÉ par mois LOCATION Location Appartement 4 pièces 116 m2 Lyon 5- Fourvière Message 3 chamb,1 964 €,res Bon état Meublé Ascenseur Etage : 1 Favoris,https://www.orpi.com/annonce-location-appartement-t4-lyon-5-69005-2c7a891b-2b4b-45b3-a9ff-dfeaae835d07/,,2026-09-24,,"Appartement meublé dans les cloitres de l'Antiquaille 4 pièce(s) 116.23 m² + possibilité box. OUVERT AUX COLOCATIONS !! Photos non contractuelles (pas les mêmes meubles). Site de l'antiquaille (partie cloître), T4 meublé de 116.23 m² au 1er étage avec ascenseur, composé d'une entrée avec placards, séjour, cuisine indépendante (meubles et hotte), 3 chambres (dont 1 parentale avec salle de bains attenante et wc), salle de bains, wc indépendants. Chauffage individuel au gaz (entretien charge locataire). Possibilité de location de garage sur le site en sus (111 €/mois, honoraires 111 €, dépôt de garantie 111 €). Loyer de référence : 13 €/m² Loyer de référence majoré : 15.60 €/m² soit 1813.19 €. Loyer HC pratiqué : 1724 € Provisions sur charges 140 €/mois avec régularisation annuelle (locatives, eau froide) honoraires 1 394.76 € dont 232.46 € d'état des lieux. Disponible immédiatement !"
par mois LOCATION Location Stationnement 15 m2 Lyon 7- Debourg Message Ascenseur Favoris,95 €,,https://www.orpi.com/annonce-location-stationnement-lyon-7-69007-54ea3e8d-feeb-40d1-9e0a-00b9e116c58d/,,2026-09-24,,Parking À Louer. A LOUER DEBOUG/JEAN-JAURES - Garage situé 52 Rue André Bollier 69007 Lyon en sous sol d'une résidence sécurisée. Facile d'accès. Libre de suite. Loyers charges comprises : 95  (dont 10 € de charges communes) Honoraires locataires : 90  Dépôt de garantie : 85 
par mois LOCATION Location Stationnement Lyon 7- Debourg Message Favoris,80 €,,https://www.orpi.com/annonce-location-stationnement-lyon-7-69007-4f5e442a-803c-4aed-aee9-0ec292177c22/,,2026-09-24,,Parking À Louer. Place de parking en sous-sol disponible de suite au sein d'une copropriété sécurisée. Loyer : 75 + 5 € = 80€ TTC Dépôt de garantie : 75€ Honoraires : 150 €
EXCLUSIVITÉ par mois LOCATION Location Stationnement Lyon 7- Debourg Message Favoris,100 €,,https://www.orpi.com/annonce-location-stationnement-lyon-7-69007-a4b37fe3-b942-4479-a157-6d07e810b973/,,2026-09-24,,Parking À Louer. Parking ouvert en sous-sol double : 27 Rue de l'Effort 69007 Lyon Loyer : 95 €+ 5 € charge s= 100 €cc Dépôt de garantie : 95 € Frais de dossier : 50 € + Frais état des lieux : 50 €
EXCLUSIVITÉ par mois LOCATION Location Stationnement Lyon 3- Villette Message Favoris,97 €,,https://www.orpi.com/annonce-location-stationnement-lyon-3-69003-a6809c51-6da5-4f87-9d36-85f2a332162b/,,2026-09-24,,"GARAGE LYON 3EME. Garage de 11 m2 environ, dans une résidence sécurisée, situé 23 rue Roposte, à 10 minutes de la gare Part Dieu. Accès sécurisé par Bip. Dimensions ( longueur 4,80 m , largeur 2,30 m , hauteur 2,00 m) . Disponible de suite"
EXCLUSIVITÉ VISITE VIRTUELLE par mois LOCATION Location Appartement 4 pièces 180 m2 Lyon 5- Vieux Ly,2 250 €,on Message 3 chambres Cave Bon état Non meublé Etage : 1 Favoris,https://www.orpi.com/annonce-location-appartement-t4-lyon-5-69005-83f755c7-66f2-420b-a513-05b2db60b833/,,2026-09-24,,"T4 d'exeption de 180 m² au cœur du Vieux-Lyon + place de stationnement. 8 Place Saint-Jean, 69005 Lyon Un appartement rare, spacieux et plein de caractère au cœur du Vieux-Lyon ! Venez découvrir ce magnifique T4 de 180 m², idéalement situé sur la Place Saint-Jean au cœur du quartier historique et touristique du Vieux-Lyon. Avec ses volumes généreux, son cachet et son emplacement exceptionnel, cet appartement offre un cadre de vie unique, à deux pas des commerces, restaurants, transports en commun et de toutes les richesses du centre historique lyonnais. Dès l'entrée, vous serez séduit par une vaste entrée qui donne le ton de ce logement. L'appartement se compose de : - Un très beau séjour donnant directement sur la Place Saint-Jean, offrant une vue et une atmosphère particulièrement agréables - Une grande cuisine indépendante, aménagée et équipée - 3 chambres, dont une superbe chambre en mezzanine - Une salle de douche - Une salle de bains - De nombreux rangements - Des WC séparés Les 180 m² permettent de profiter d'un véritable sentiment d'espace, avec des pièces généreuses et une configuration idéale pour celles et ceux qui recherchent un logement avec du caractère et de beaux volumes. Le logement bénéficie également : - D'une cave privative avec porte blindée - D'une place de stationnement À noter concernant la place de stationnement : celle-ci est réservée exclusivement aux véhicules thermiques. Elle ne peut pas être utilisée pour un véhicule électrique ou hybride rechargeable. Charges et équipements : - Chauffage individuel au gaz - Eau chaude individuelle au gaz - Eau froide individuelle, à souscrire directement auprès de l'Eau du Grand Lyon Disponible immédiatement. Découvrez l'appartement depuis chez vous grâce à la visite virtuelle : https://envisite.net/vtour/fr/3dae2m/frame Un bien aussi spacieux et aussi bien situé est une opportunité rare à Saint-Jean. Venez découvrir tout le charme de cet appartement d'exception au cœur du Vieux-Lyon !"
Location Appartement 3 pièces 86 m2,1 400 €par mois,"1 400 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t3-lyon-9-69009-c613f31e-6f5e-4077-9987-415792fe96bb/,,2026-09-24,,"A louer, Appartement T3 NON MEUBLE à Lyon 9ème - CHAUFFAGE ET EAU COMPRIS. A Louer, T3 NON MEUBLE à Lyon 9ème (à la frontière avec Tassin la Demi Lune). Cet appartement à la location inclut toutes vos charges : chauffage, eau froide et eau chaude, il ne vous restera qu'a souscrire à votre abonnement d'électricité ! Appartement T3 de 85,88 m2 à louer idéalement situé à proximité immédiate des commerces, services, écoles et transports en commun (à 3min de la Gare de Gorge de Loup - 7 lignes de bus en bas de la résidence). La copropriété est calme et bien entretenue avec une gardienne, un local vélo / poussettes, un terrain de tennis. En très bon état, ce logement propose un séjour double 30 m2, donnant sur un balcon exposé SUD, une cuisine séparée de 11m2 entièrement équipée et meublée donnant également sur le balcon de 7m2. Dans la continuité du logement, vous trouverez deux chambres dont une avec un balcon de 8m2 exposé NORD, un dressing et une salle d'eau avec WC séparé. Un garage fermé en sous-sol ainsi qu'une cave complètent ce bien. Disponible immédiatement. Loyer : 1 340,00 euros charges comprises (dont 204 euros de charges comprenant l'eau chaude et froide, le chauffage et les parties communes). Dépôt de garantie : 1 136,00 euros Honoraires : 1 126,75 euros (dont 260,22 euros de frais d'état des lieux) Lien de la vidéo : https://youtube.com/shorts/vnuiYUm_I3I Pour visiter ou obtenir plus d'informations, contactez-nous dès aujourd'hui au 04 78 59 06 06."
Location Appartement 5 pièces 82 m2,1 749 €par mois,"1 749 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t5-lyon-8-69008-43caac36-dc50-4ab2-9323-1aa09a338588/,,2026-09-24,,"Appartement idéal pour colocation Lyon - 5 pièce(s) 82.05 m2. IDEAL COLOCATION pour 4 personnes Appartement meublé de type 5 de 85.02m² situé 322 Avenue Berthelot 69008 LYON au 4ème étage avec ascenseur. Il se compose d'un hall d'entrée, de quatre chambres, d'un séjour ouvert sur une cuisine aménagée et équipée, d'une salle d'eau et d'un WC séparé. Chauffage et eau froide inclus dans les charges Disponible immédiatement A proximité immédiate de la ligne de tramway T2 arrêt Bachut - Mairie du 8ème Loyer de référence majoré (loyer de base à ne pas dépasser) : 1172,46€ loyer de base : 1172,46€ complément de loyer: 252,54€"
Location Appartement 4 pièces 117 m2,1 843 €par mois,"1 843 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t4-lyon-2-69002-5b10371f-0c27-4d7a-bc7e-5441b6edf80b/,,2026-09-24,,"Appartement Lyon 4 pièce(s) 117.09 m2 OUVERT COLOCATION!. OUVERT À LA COLOCATION ! En plein cœur du très recherché quartier d'Ainay , bel appartement de type 4 de 117.09 m² au 2ème étage avec ascenseur d'une copropriété bien entretenue. L'appartement se compose d'un hall d'entrée avec placard, d'un vaste séjour avec rangements muraux, d'une salle à manger donnant sur une cuisine aménagée et partiellement équipée (meubles, plaque de cuisson gaz, hotte, four, four à micro-ondes, lave-vaisselle), de deux chambres, d'une salle de bains avec fenêtre, toilettes séparées et buanderie. Cave. Chauffage individuel au gaz. Nombreux rangements. Loyer de référence : 12,3 €/m² Loyer de référence majoré : 14,8 €/m² soit 1732,93 € Loyer hors charges : 1740 € Provision pour charges : 50 € Complément de loyer : 7.07€ (cuisine aménagée et équipée) Honoraires : 1405,08€ dont 234,18€ d'état des lieux. Disponible immédiatement !"
Location Stationnement,100 €par mois,"100 €par mois
LOCATION",https://www.orpi.com/annonce-location-stationnement-lyon-7-69007-50caa1ed-2e9b-4d21-ae9b-ac20686446fa/,,2026-09-24,,Parking À Louer. Garage en sous-sol fermé disponible de suite au sein d'une copropriété sécurisée. Loyer : 115 + 5 € = 120 € TTC Dépôt de garantie : 115 € Honoraires : 75 € (frais de dossier : 50 + frais d'état des lieux : 25)
