Titre,Prix,Lien,Image,DerniereVue,Description
Appartement 88 m2 Lyon 1,1 072 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1288273561A1KILHAP000,,2026-09-24,
Appartement 53 m2 Lyon 6,1 216 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1288503858A1KILHAP000,,2026-09-24,
Appartement 92 m2 Lyon 1,2 100 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1287399659A1KILHAP000,,2026-09-24,
Appartement 61 m2 Lyon 3,1 556 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1287750326A1KILHAP000,,2026-09-24,
Appartement 214 m2 Lyon 9,2 995 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1287526181A1KILHAP000,,2026-09-24,"Découvrez cet appartement spacieux de 213,95 m², rénové en 2025. Avec 5 chambres, 2 salles de bains et une terrasse de 23 m², il offre luxe et confort pour les familles et les amateurs de belles réceptions, tout en étant proche des commodités. Appartement de Grand Standing - 213,95 m² - 5 Chambres - Terrasse de 23 m² Découvrez cet appartement de grand standing, récemment rénové en 2025, offrant un espace de vie spacieux et lumineux de 213,95 m². Situé au calme cet appartement allie luxe et confort pour une vie élégante et sereine. Avec ses 5 chambres, 2 salles de bains et 1 salle d'eau, cet appartement est parfait pour les familles ou ceux qui aiment recevoir. La terrasse de 23 m² est un véritable havre de paix. L'appartement est en excellent état, avec des parties communes bien entretenues. Il est non meublé, vous permettant de personnaliser chaque espace selon vos goûts et vos besoins. Cet appartement est situé à proximité de toutes les commodités. Vous trouverez des écoles, des restaurants, des parcs et des transports en commun à quelques minutes de marche. Les stations de bus sont à 5 minutes à pied, les stations de métro à 15 minutes à pied, et les stations de tramway à 10 minutes en voiture. En complément vous trouverez un garage de 44 m². Charges comprenant l'entretien des parties communes, la fibre, l'entretien de la chaudière et la TEOM. Accès facile à l'autoroute. Disponible dès aujourd'hui. Dépôt de garantie 1 mois de Loyer HC. Loyer de référence majoré: 2567.40€ - Complément de loyer: 282.6 € comprenant le garage et le patio extérieur. Honoraires agence 2 850€ TTC OU 1 mois de loyer HC en cas de bail de droit commun (Visites, étude de dossiers, rédaction du bail + État des lieux d'entrée). DPE : D ET C.. Veuillez me contacter au 06 X 79 X 06 X 03 X 83. . Honoraires de 2 567,40 € TTC à la charge du locataire comprenant 427,90 € TTC pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 2567.40 €/mois. Loyer de base 2567.40 €/mois. Provision sur charges 134,36 €/mois, régularisation annuelle. Complément de loyer 282,60 €/mois. Dépôt de garantie 2 850 €. Classe énergie D, Classe climat C Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 3160.00 € et 4350.00 € sur les années 2021, 2022 et 2023 (abonnements compris). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. CC TTC Rente mensuelle : 0.00 euros. Numéro de mandat : 6573 Lieu : Rhône (69)"
Appartement 50 m2 Lyon 6,1 170 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1274674751A1KILHAP000,,2026-09-24,"Cet appartement meublé de charme de 50 m² à Lyon 6e offre un confort inégalé avec sa mezzanine, son salon lumineux et son charme ancien. Parfait pour ceux en mobilité professionnelle ou étudiant, il est à deux pas du métro Masséna. Appartement meublé de charme - Lyon 6e - Métro Masséna Bel appartement meublé de 50 m² avec mezzanine de 15 m², situé au 4e étage avec ascenseur, à seulement 5 minutes à pied du métro Masséna dans le très recherché 6e arrondissement de Lyon. Ses atouts : * Très calme et lumineux * Aucun vis-à-vis * Charme de l'ancien avec plafond à la française * Porte blindée et interphone Pièce de vie : * Salon confortable avec canapé convertible équipé d'un matelas de 17 cm * Table et chaises * Téléviseur Smart TV LED Hitachi 43 pouces Espace nuit : * Chambre en mezzanine * Grand lit avec matelas Bultex haut de gamme, particulièrement confortable Cuisine entièrement équipée : * Électroménager récent * Machine à café Nespresso Vertuo * Nombreux rangements Salle de bain : * Douche et baignoire * WC Confort : * Double vitrage * Chauffage électrique Informations complémentaires : * Eau, électricité et internet non compris * Locations de courte durée possibles Idéal pour étudiant, jeune actif ou personne en mobilité professionnelle recherchant un logement confortable dans un quartier prisé de Lyon. Lieu : Rhône (69)"
Appartement 31 m2 Lyon 3,580 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1287757139A1KILHAP000,,2026-09-24,"LYON 3 e métro Sans Souci, rue Paul Sysley, beau T1 de 31 m2 premier étage ascenseur composé de entrée avec placard, un séjour coin cuisine, une salle de bain avec WC, le chauffage est assuré par convecteurs et l'eau chaude par cumulus. libre de suite, Loyer 540 € + Charges 40 € honoraires 403 € AFTIL LYON PHOTOS EN COURS Disponible immédiatement Adresse : rue Paul Sysley, Lyon, Rhône (69)"
Appartement 31 m2 Lyon 3,500 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1295641036A1KILHAP000,https://img.paruvendu.fr/_static_/2026092408/communfo/img/sitemobile/transparent_1x1.png,2026-09-24,
Appartement 135 m2 Lyon 9,1 900 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1295221959A1KILHAP000,https://img.paruvendu.fr/media_ext/box.ics.fr/27/4d/L2NpdF9DSVRZQV9CQVJJT1pfdGljL2xvY2F0aW9uL3Bob3RvL2ZpbGlncmFuZS00Nl9RdWFpX0pheXJfNjkwMDlfMS0zNDEwMzc5MTAzMDk0NjExMDI4LmpwZz8yMDI2MDkxODExNTMyNA_rct?func=crop&w=320&gravity=auto,2026-09-24,
Appartement 47 m2 Lyon 1,1 219 € CC*,https://www.paruvendu.fr/immobilier/location/appartement/1293689269A1KILHAP000,https://img.paruvendu.fr/media_ext/box.ics.fr/bb/2a/L2NpdF9DSVRZQV9CQVJJT1pfdGljL2xvY2F0aW9uL3Bob3RvL2ZpbGlncmFuZS1JTUdfODQxMS0xMzY5OTE3NzY4MTYwMzUzOTYwMS5qcGc_MjAyNjA5MDExMTUxMjg_rct?func=crop&w=320&gravity=auto,2026-09-24,
