Lieu,Prix,Details,Description,Lien,Image,DerniereVue
Lyon 7ème (Rhône),544 CHF/mois,32 m² - 1 pièce,"Votre Régie Galyo a le plaisir de vous proposer à la location, proche des transports en commun, des commerces et de toutes commodités, cet appartement studio de 32.50m².  Au 4ème étage d'une résidence sécurisé située avenue DEBOURG il se compose d'une pièce de vie avec coin cuisine équipée (plaques de cuisson électrique et frigo) et petit BALCON ainsi que d'une salle de bain avec WC.  L'eau chaude, l'eau froide et le chauffage sont collectifs et compris dans les charges  Loyer de référence : 458.25€ Loyer de référence majoré : 549.25€  Conseillère : Eva",https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Apz2wcfetl9nceg0,https://lb1.vizzit.com/2635049a/Apz2wcfetl9nceg0/Photos/Apz2wcfetl9nceg0_1.jpg?639258840220000000,2026-09-24
Lyon 2ème (Rhône),929 CHF/mois,59 m² - 2 pièces - 1 chambre,"Votre Régie Galyo a le plaisir de vous proposer à la location, proche des transports en commun, des commerces et de toutes commodités, cet appartement studio de 59m².  Au 2E étage d'une résidence calme, situé RUE DES REMPARTS D'AINAY à Lyon 2eme, il se compose d'un séjour, d'une cuisine séparée aménagée (meubles hauts et bas), d'une chambre et d'une salle de bain avec WC.  Logement soumis à l'encadrement des loyers : loyer de référence : 893.85 € loyer de référence majoré : 1072.62 €  Contact : Eva",https://www.vizzit.fr/fr/property/appartement/lyon-2eme/Agdh8l4ee6hx4arv,https://lb1.vizzit.com/2635049a/Agdh8l4ee6hx4arv/Photos/Agdh8l4ee6hx4arv_1.jpg?639258840220000000,2026-09-24
Lyon 3ème (Rhône),678 CHF/mois,38 m² - 2 pièces - 1 chambre,"T2 - RUE GERMAIN DAVID - 69003 LYON Proche de toutes commodités, transports et commerces.  Appartement T2 d'une superficie de 38 m², dans une résidence récente de 2018, composé d'un hall d'entrée, d'une cuisine aménagée et équipée (éléments hauts et bas, four, plaque de cuisson vitrocéramique, hotte) ouverte sur le séjour avec balcon, d'une chambre, d'une salle d'eau et de WC indépendants. L'appartement est loué exclusivement avec son garage fermé en sous-sol pour un loyer de 130 € par mois et 6 € de charges.  Bien soumis à l'encadrement des loyers : - loyer de référence : 556,70 € - Loyer de référence majoré : 667,28 €  Appartement soumis au dispositif PINEL (Avis d'imposition N-2): Personne seule : 44 344 € Couple : 66 276 €  Contact : Axelle",https://www.vizzit.fr/fr/property/appartement/lyon-3eme/A4mrjg779b2f1s7r,https://lb1.vizzit.com/2635049a/A4mrjg779b2f1s7r/Photos/A4mrjg779b2f1s7r_1.jpg?639258840220000000,2026-09-24
Lyon 6ème (Rhône),1 131 CHF/mois,78 m² - 2 pièces - 1 chambre,"Découvrez ce superbe appartement de 78 m² composé d'une entrée avec placards, d'une grande distribution qui d'une cuisine indépendante, d'un séjour de près de 25m², d'une chambre de 17m², d'une salle de bains et d'un WC séparé.  Logement soumis à l'encadrement des loyers : - Loyer de référence : 1175,70 € - Loyer de référence majoré : 1410,84 €  Contact : Axelle",https://www.vizzit.fr/fr/property/appartement/lyon-6eme/Ab1c9b0pdk0d9siv,https://lb1.vizzit.com/2635049a/Ab1c9b0pdk0d9siv/Photos/Ab1c9b0pdk0d9siv_1.jpg?639258840220000000,2026-09-24
Lyon 9ème (Rhône),542 CHF/mois,22 m² - 2 pièces - 1 chambre,"Au calme avec beaucoup de luminosité et une petite cour aménagée, découvrez ce joli duplex meublé de 22m² composé au rez-de-chaussée d'un séjour avec cuisine aménagée et équipée, de rangements et d'un WC. Au premier étage, vous découvrirez une chambre avec salle d'eau.  Logement soumis à l'encadrement des loyers : - Loyer de référence : 338,54 € - Loyer de référence majoré : 405.80 € - Complément de loyer : 162,20 € justifié par la situation calme du logement et l'aménagement de la cour intérieure.  Contact : Axelle",https://www.vizzit.fr/fr/property/appartement/lyon-9eme/Az657hk0930hlol6,https://lb1.vizzit.com/2635049a/Az657hk0930hlol6/Photos/Az657hk0930hlol6_1.jpg?639258840220000000,2026-09-24
Lyon 7ème (Rhône),1 567 CHF/mois,93 m² - 3 pièces - 2 chambres,"Réf. AN006329 - Imodirect vous propose à la location, rue Sébastien Gryphe à deux pas du métro-Saxe Gambetta, ce très beau T3 meublé, lumineux et traversant de 93m2.  Situé au 4ème étage d'un immeuble de 1958 avec ascenseur, entretenu et ravalé, cet appartement est fonctionnel et en bon état.  Il se compose d'un couloir desservant l'ensemble des pièces, d'un beau séjour double donnant accès au balcon, d'une cuisine équipée ((lave-vaisselle, réfrigérateur, four, hotte, plaques à induction), d'une salle de bain avec baignoire, fenêtre et machine à laver, de deux chambres équipées de placards muraux, d'un wc indépendant et d'un dressing.  Le chauffage est collectif et intégré dans les charges et la production d'eau chaude individuelle électrique.  Une cave vient compléter ce bien.  A visiter sans tarder!  ENCADREMENT DES LOYERS : • Loyer de référence : 13,60 €/m² - soit 1 266,84 €/mois • Loyer de référence majoré : 16,30 €/m² - soit 1 518,35 €/mois  Classe énergétique : D (de 181 à 250).  Les frais d'agence sont de 1 222,13 € maximum.    Pour toute question ou visite, merci de remplir la demande de visite.",https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Aileqa5qducn7aym,https://lb1.vizzit.com/2568359a/Aileqa5qducn7aym/Photos/Aileqa5qducn7aym_1.jpg?639258671960000000,2026-09-24
Lyon 2ème (Rhône),1 035 CHF/mois,66 m² - 3 pièces - 2 chambres,"Proche des commerce du cours Charlemagne, des transports : bus, tram, métro et train. Découvrez ce T3 de 66 m² comprenant une entrée un séjour avec cuisine ouverte aménagée et équipée, deux chambres, une salle d'eau et WC indépendants. Chauffage individuel électrique.  Logement soumis à l'encadrement des loyers : Loyer de référence : 801,75 € loyer de référence majoré : 960,77 € Complément de loyer : 87,23 € se justifiant par l'absence de vis-à-vis.  Contact : Axelle",https://www.vizzit.fr/fr/property/appartement/lyon-2eme/Aw6bedzcmixalr4z,https://lb1.vizzit.com/2635049a/Aw6bedzcmixalr4z/Photos/Aw6bedzcmixalr4z_1.jpg?639258549690000000,2026-09-24
Lyon 8ème (Rhône),771 CHF/mois,40 m² - 2 pièces - 1 chambre,"À louer, joli appartement de 40 m² situé rue Maryse Bastié, au 5ᵉ étage d'une résidence récente avec ascenseur. Il se compose d'une cuisine aménagée ouverte sur un séjour lumineux, donnant accès à une grande terrasse de 6 m², une chambre, d'une salle de bain, et d'un garage en sous-sol. Disponible le . A environ 10min du T6 et T2 Loyer de référence majoré (loyer de base à ne pas dépasser): 697€ loyer de base: 697€ complément de loyer 91€.",https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Aqwjf14dqfj44u2x,https://lb1.vizzit.com/4239008a/Aqwjf14dqfj44u2x/Photos/Aqwjf14dqfj44u2x_1.jpg?639258517580000000,2026-09-24
Lyon 8ème (Rhône),1 374 CHF/mois,69 m² - 3 pièces - 2 chambres,"A LOUER - T3 DE 69.92 M2 A LYON 8, AVENUE JEAN MERMOZ - Magnifique appartement à louer à Lyon (69008), situé dans le quartier de Mermoz. Ce charmant appartement de 3 pièces bénéficie d'une surface habitable de 69,92 m². Situé dans un immeuble récent avec ascenseur, ce bien dispose d'une pièce de vie ouverte sur une cuisine équipée, toutes deux donnant sur une belle terrasse offrant une vue dégagée, ainsi que de deux chambres et d'une salle d'eau. Un garage en sous-sol est mis à disposition avec la location. Vous serez séduit par la luminosité de cet appartement, grâce à ses grandes fenêtres offrant une vue dégagée. Idéalement situé dans une résidence sécurisée, vous pourrez profiter de tout le confort nécessaire pour une vie agréable au quotidien. La proximité des commerces, des transports en commun et des écoles en fait un emplacement idéal pour les familles. Ne ratez pas cette belle opportunité et contactez-nous dès maintenant pour plus d'informations ou pour organiser une visite. Ce bien rare sur le marché saura vous séduire par ses caractéristiques uniques. Le chauffage est individuel électrique. L'eau est collective électrique. Loyer mensuel charges comprises 1 464.00€ dont 204.00€ de provisions sur charges (soumis à régularisation annuelle). Diagnostic Energétique : C COMPLEMENT DE LOYER A HAUTEUR DE 211.20€ POUR CLIMATISATION, TERRASSE ET GARAGE LOYER SOUMIS A ENCADREMENT DES LOYERS : LOYER REFERENT : 12.50€M² (soit 874.00€) / LOYER MAJORE : 15.00€M² (soit 1048.80€) DEPOT DE GARANTIE : 1 260.00€ HONORAIRES LOC : 705.49€ (10.09€/m²) ET 211.86€ POUR ETAT DES LIEUX (3.Loyer de 1 464,00 euros par mois charges comprises dont 204,00 euros par mois de provision pour charges (soumis à la régularisation annuelle). Les honoraires charge locataire sont de 917,35 euros ( soit 13,12 euros/m² ) dont 211,86 euros pour état des lieux ( soit 3,03 euros/m² ). Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 160 et 1 620 euros. Prix moyens des énergies indexés en 2023. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 1 260 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 874 euros et le complément de loyer est de 211,2 euros par mois.",https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Apabsx0s8zav1whd,https://lb1.vizzit.com/54745a/Apabsx0s8zav1whd/Photos/Apabsx0s8zav1whd_1.jpg?639258426000000000,2026-09-24
Lyon 8ème (Rhône),1 164 CHF/mois,57 m² - 3 pièces,"A1-203 T. EMILIE - A SAISIR LUMINEUX ET CALME - SUPERBE TERRASSE DE 14.5M2 - RESIDENCE RECENTE DE STANDING A PROXIMITE DE TOUS COMMERCES ET TCL - Beau T3 entirèrement meublé situé au 2ème étage comprenant une entréeavec rangements, un grand séjour de 26 m² ouvert sur une cuisine US équipée et aménagée, deux chambres en sol parquet avec placard aménagé, une salle de bains aménagée. Garage fermé en sous sol sécurisé. Chauffage + eau chaude et froide inclus dans les charges. ZONE SOUMISE A ENCADREMENT DES LOYERS LOYER DE REFERENCE MAJORE (LOYER DE BASE A NE PAS DEPASSER) : 984.00 EUR LOYER DE BASE : 984 EUR SURLOYER : 116 EUR Consommation d'énergie totale comprise entre 240 et 360 EUR par an (prix moyens des énergies indexés en 2021).",https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A1ovlxat5mrzuhjb,https://lb1.vizzit.com/69646a/A1ovlxat5mrzuhjb/Photos/A1ovlxat5mrzuhjb_1.jpg?639258403660000000,2026-09-24
