id_annonce,site,prix,surface,prix_m2,type,description,description_raw,description_detail,code_postal,ville,latitude,longitude,url,image,date_dernier_scan
1362,Vizzit,549.0,27.0,20.33,Studio,27 m² - Studio,27 m² - Studio,"VISITE VIRTUELLE UNIQUEMENT - Dans le 7ème arrondissement de Lyon, Rue de la Thibaudière, à côté des commerces et des transport (métro D et B), dans un immeuble sans ascenseur, nous vous proposons un grand studio rénové, situé au 1er étage et donnant côté cour. Ce logement comprend une entrée, une pièce de vie lumineuse et vaste permettant de faire un coin nuit et un coin salon/repas, une salle de bain avec wc. Le chauffage et l'eau chaude sont individuel électrique.",69007,Lyon,45.72016,4.82618,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/An935zvre2w0m2d9,,2026-09-24
1655,Vizzit,737.0,56.0,13.16,Appartement,3 pièce - 2 chambre - 56 m² - s - s,56 m² - 3 pièces - 2 chambres,"8 Bis Rue Hugues Guérin, 69008 Lyon Dans une résidence de standing avec piscine, au cœur du 8ᵉ arrondissement de Lyon, cet appartement de type 3 d'une superficie de 56 m² est situé au dernier étage. Il se compose d'un séjour donnant sur un agréable balcon, d'une cuisine ouverte aménagée et équipée, de deux chambres avec placards, d'une salle de bains, ainsi que d'un WC indépendant. En annexe, vous bénéficierez d'un parking. Les charges comprennent l'entretien des parties communes ainsi que l'eau froide. Le chauffage et l'eau chaude sont individuels électriques. La visite virtuelle: Disponible à partir du . /! \ Pour visiter, rien de plus simple: faites la demande de contact en complétant le formulaire et vous recevrez un lien qui vous permettra de réserver une visite. Si vous n'avez aucun créneau de visite disponible à la réservation, cela signifie que le nombre maximum de visites prévu pour le moment a été atteint. /! \.",69008,Lyon,45.72572,4.87868,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/An3l566yha393jg2,,2026-09-24
1494,Vizzit,610.0,40.0,15.25,Appartement,2 pièce - 40 m² - s,40 m² - 2 pièces,"67 RUE DE MARSEILLE - 69007Appartement 2 pièces situé au 5ème et dernier étage sans ascenseur comprenant une entrée, une cuisine aménagée et équipée (cuisinière et hotte) ouverte sur le séjour ainsi qu'une salle d'eau avec W.C. La location pourra être déléguée à Foncia Développement et Location.",69007,Lyon,45.72593,4.82397,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Ajkr15crdi1ea6oa,,2026-09-24
1579,Vizzit,902.0,69.0,13.07,Appartement,3 pièce - 2 chambre - 69 m² - s - s,69 m² - 3 pièces - 2 chambres,"Résidence neuve avenue Général Frère à Lyon 8 Pas de visite possible - commercialisation sur plan (pas de visite possible) - livraison le logements disponibles T3 de 69 m², dispose d'une entrée avec rangements, 2 chambres, un WC indépendant, une salle d'eau et un séjour ouvert sur la cuisine non-équipée donnant sur un balcon. Garage en sous-sol en supplément: 55 €/mois CC. Loyer CC: à partir de 1004.33 € dont 42.92 € de charges comprenant l'entretien des parties communes et entretien de la chaudière Eau chaude, chauffage individuel gaz Eau froide individuelle. Dépôt de garantie: 961 € PAS DE FRAIS D'AGENCE. Logements sociaux et soumis à des conditions de ressources.",69008,Lyon,45.72661,4.88257,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Aegy0zehyc2sda9l,,2026-09-24
1477,Vizzit,563.0,16.0,35.19,Appartement,1 pièce - 16 m²,16 m² - 1 pièce,"A Louer, Studio MEUBLE à Lyon 8ème.  A louer, Studio Meublé au rez-de-chaussée, idéalement situé à proximité immédiate des commerces, services et transports en commun.  Rénové récemment, ce logement au rez-de-chaussée propose une agréable pièce de vie ouvrant sur un jardin clos, une cuisine ouverte équipée et meublée, un lit et une salle d'eau avec WC séparé. L'appartement dispose de nombreux rangements.  Disponible le 7 octobre 2026.  Loyer : 600,00 euros charges comprises (dont 70,00 euros de charges). Dépôt de garantie : 1 060,00 euros Honoraires : 220,42 euros (dont 50,90 euros de frais d'état des lieux)  Pour visiter ou obtenir plus d'informations, contactez-vous dès aujourd'hui .",69008,Lyon,45.72707,4.88342,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A1xr3yt9js550s92,,2026-09-24
1636,Vizzit,856.0,41.0,20.88,Studio,41 m² - Studio,41 m² - Studio,"T1 BIS - MEUBLE - LYON 7 Venez visiter ce grand T1 Bis meublé de 41,91 m² situé au 2 étage d'un immeuble sécurisé, au pied du tramway T2 arrêt ""Route de Vienne"", et à proximité immédiate des commerces (boulangerie, pharmacie, superette). L'appartement se compose d'une entrée avec un grand dressing, d'un vaste séjour lumineux ouvert sur une cuisine aménagée et entièrement équipée (lave-vaisselle, plaques de cuisson, hotte, four, micro-ondes). La salle d'eau est équipée d'une machine à laver et les WC sont séparés. Une chambre, séparé par une verrière, offre une vraie pièce supplémentaire (moins de 9 m²). Eau chaude et Electricité Individuel Disponible le !",69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Anwqp2g7vyfm40gn,,2026-09-24
1648,Vizzit,849.0,45.0,18.87,Appartement,2 pièce - 1 chambre - 45 m² - s,45 m² - 2 pièces - 1 chambre,"Honoraires de 550 € TTC à la charge du locataire comprenant 150 € TTC pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 820 €/mois. Loyer de base 817 €/mois. Provision sur charges 88 €/mois, régularisation annuelle. Dépôt de garantie 817 €. DPE en cours.",69008,Lyon,45.72812,4.87721,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A81lhk6pawrqdfi2,,2026-09-24
1402,Vizzit,679.0,50.0,13.58,Appartement,2 pièce - 50 m² - s,50 m² - 2 pièces,"VISITE VIRTUELLE EXCLUSIVEMENTQuartier Moulin à vent, à deux pas du Tram T6 et autres transport, dasn une résidence bien entretenue, nous vous proposons ce T2 de 50.51 m² Rénové. Situé au 3ème étage avec ascenseur, il est lumineux orienté Est et au calme sur cour intérieure sans vis à vis. Il est composé d'une entrée, une belle pièce de vie en parquet ouvrant sur un balcon, une cuisine indépendante meublée et équipée d'une hotte, un lave vaisselle et un lave linge, une chambre avec un grand placard aménagé et une salle de bain. Pour plus de confort au quotidien, les WC sont indépendants. Pour simplifier vos déplacements, le logement est loué avec une garage fermé en sous sol. Le chauffage et l'eau chaude sont individuels au gaz vous permettant d'optimiser vos dépenses énergétiques.",69008,Lyon,45.72866,4.86152,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A8iuvgqp8s6738hq,,2026-09-24
1736,Vizzit,1013.0,56.0,18.09,Appartement,4 pièce - 3 chambre - 56 m² - s - s,56 m² - 4 pièces - 3 chambres,"295 Route de Vienne - 69200 VENISSIEUX (limite 8ème arr.)  Proche Tramway T6 et toutes commodités  Nous vous proposons à la location cet appartement T4 entièrement meublé à Vénissieux (limite 8ème arr.)  L'appartement se compose d'une pièce de vie avec cuisine aménagée et équipée (plaques, hotte, four, réfrigérateur, micro-ondes), de trois chambres avec rangements, d’une salle de bains (équipée d'un lave-linge) et d'un WC séparé.  Les charges mensuelles comprennent l'entretien des parties communes, le chauffage, l'eau froide & l’eau chaude.  Une cave complète ce bien.  Place de parking (non privative) dans la résidence sécurisée.  Loyer hors charges : 1080,00€ Charges locatives : 150.00€  TOTAL MENSUEL : 1230.00€  Dépôt de garantie : 2160.00€  Frais de mise en location et d'état des lieux :  Frais d'agence : 572.00€ Frais d'état des lieux : 171.77€  Pour déposer votre candidature :  DOSSIER FACILE",69008,Lyon,45.72874051105038,4.84910814891125,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A41cu7mmcy51qw32,,2026-09-24
1671,Vizzit,698.0,37.0,18.86,Studio,37 m² - Studio,37 m² - Studio,"69008 LYON Rue Florent Grand studio avec garage en supplément LOCATION VIDE DISPONIBLE FIN SEPTEMBRE Pas de visite sans dossier de candidature complet, à transmettre via le site Century 21 ou par e-mail à : Venez découvrir, au sein d'une résidence fermée et sécurisée avec ascenseur, ce bel appartement de type 1 situé au 3 étage avec ascenseur, bénéficiant également d'un garage fermé en sous-sol pour 55€ de plus / mois soit un loyer total de 799€ charges comprises Vous profiterez d'une proximité immédiate avec les commodités, les transports en commun et les commerces du quartier. D'une superficie de 38 m², ce grand studio lumineux se compose de : une belle pièce de vie lumineuse un coin cuisine équipé d'une plaque de cuisson, d'un évier, d'un réfrigérateur et de meubles de rangement une grande salle d'eau avec WC. A visiter sans plus attendre !",69008,Lyon,45.72941,4.86529,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Atfpab5v5rnp4bqy,,2026-09-24
