id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url
1166,Vizzit,676.0,20.0,33.8,Studio,20 m² - Studio,69007,Lyon,45.71739,4.82934,https://www.vizzit.fr/fr/property/appartement/lyon-7/Akrqffc194vev8gd
1148,Vizzit,700.0,21.0,33.33,Appartement,1 pièce - 21 m²,69008,Lyon,45.72416,4.85201,https://www.vizzit.fr/fr/property/appartement/lyon-8/A9rckhrzlbb6v1vl
1514,Vizzit,940.0,60.0,15.67,Appartement,3 pièce - 60 m² - s,69008,Lyon,45.72472,4.88432,https://www.vizzit.fr/fr/property/appartement/lyon-8/A9c0mt9e8ff2e0ie
1277,Vizzit,912.0,41.0,22.24,Studio,41 m² - Studio,69007,Lyon,45.72517,4.83742,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ajf3l74w4gl5wz60
1125,Vizzit,1200.0,84.0,14.29,Appartement,4 pièce - 84 m² - s,69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ay9qilldi03z17dp
1489,Vizzit,1600.0,78.0,20.51,Appartement,4 pièce - 78 m² - s,69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aui02d6p50u8enyw
1313,Vizzit,950.0,42.0,22.62,Appartement,2 pièce - 42 m² - s,69008,Lyon,45.7287,4.88464,https://www.vizzit.fr/fr/property/appartement/lyon-8/Az3cq9jlmjih8n22
1269,Vizzit,710.0,31.0,22.9,Studio,31 m² - Studio,69007,Lyon,45.72985,4.83165,https://www.vizzit.fr/fr/property/appartement/lyon-7/Am7miq8sup14jm8m
1132,Vizzit,995.0,55.0,18.09,Appartement,2 pièce - 55 m² - s,69007,Lyon,45.73033,4.83491,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aq0an27l4p52nh51
1151,Vizzit,1062.0,54.0,19.67,Appartement,2 pièce - 54 m² - s,69007,Lyon,45.7304,4.83994,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aoe3nl78d9vl6z3m
1498,Vizzit,810.0,54.0,15.0,Appartement,2 pièce - 54 m² - s,69008,Lyon,45.73141,4.85468,https://www.vizzit.fr/fr/property/appartement/lyon-8/Asat2m0qj6x86qk0
1403,Vizzit,683.0,20.0,34.15,Studio,20 m² - Studio,69007,Lyon,45.73159,4.8303,https://www.vizzit.fr/fr/property/appartement/lyon-7/A05y9spg7atpi3p4
1405,Vizzit,593.0,34.0,17.44,Studio,34 m² - Studio,69007,Lyon,45.73285,4.8306,https://www.vizzit.fr/fr/property/appartement/lyon-7/Asytijmmty97pcdj
1379,Vizzit,1045.0,74.0,14.12,Appartement,3 pièce - 74 m² - s,69008,Lyon,45.73298,4.87491,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ah0l4g80521ff0ex
1497,Vizzit,875.0,41.0,21.34,Appartement,2 pièce - 41 m² - s,69008,Lyon,45.73298,4.87491,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ax1lvgqvopj0cuxn
1501,Vizzit,740.0,24.0,30.83,Appartement,2 pièce - 24 m² - s,69008,Lyon,45.73298,4.87491,https://www.vizzit.fr/fr/property/appartement/lyon-8/Amubrym5v1fko2q5
1421,Vizzit,622.0,33.0,18.85,Studio,33 m² - Studio,69008,Lyon,45.73322,4.8825,https://www.vizzit.fr/fr/property/appartement/lyon-8/A39w3jn060bwpdgu
1359,Vizzit,1000.0,68.0,14.71,Appartement,3 pièce - 68 m² - s,69008,Lyon,45.73323,4.8743,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ad83nsehzpaxzce2
1539,Vizzit,1017.0,50.0,20.34,Appartement,2 pièce - 50 m² - s,69007,Lyon,45.73335,4.83733,https://www.vizzit.fr/fr/property/appartement/lyon-7/Airv35slf2j4n7wx
1252,Vizzit,1300.0,69.0,18.84,Appartement,4 pièce - 69 m² - s,69008,Lyon,45.73336,4.87391,https://www.vizzit.fr/fr/property/appartement/lyon-8/A5tp7m0xd2b6turt
1570,Vizzit,895.0,50.0,17.9,Appartement,2 pièce - 50 m² - s,69008,Lyon,45.73336,4.87391,https://www.vizzit.fr/fr/property/appartement/lyon-8/A1p6vlgc9ycfeyz0
1255,Vizzit,850.0,32.0,26.56,Appartement,1 pièce - 32 m²,69008,Lyon,45.73359,4.8665,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aqz1ld2becpho399
1284,Vizzit,950.0,64.0,14.84,Appartement,3 pièce - 64 m² - s,69008,Lyon,45.73377,4.85195,https://www.vizzit.fr/fr/property/appartement/lyon-8/Awurr3dwlr4ziwoh
1459,Vizzit,1022.0,53.0,19.28,Appartement,2 pièce - 53 m² - s,69007,Lyon,45.7338,4.83948,https://www.vizzit.fr/fr/property/appartement/lyon-7/Av986a3th9kx9r3m
1265,Vizzit,590.0,17.0,34.71,Studio,17 m² - Studio,69008,Lyon,45.73388,4.86899,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aqz6gs2dwl6j6u61
1340,Vizzit,423.0,21.0,20.14,Studio,21 m² - Studio,69008,Lyon,45.73404,4.85814,https://www.vizzit.fr/fr/property/appartement/lyon-8/Awru12cf5qfh7u4z
1457,Vizzit,670.0,20.0,33.5,Studio,20 m² - Studio,69007,Lyon,45.7345,4.8379,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aivmy0ewjj4cppa8
1383,Vizzit,990.0,44.0,22.5,Appartement,2 pièce - 44 m² - s,69008,Lyon,45.73466,4.87112,https://www.vizzit.fr/fr/property/appartement/lyon-8/Auserov9nenz4xip
1506,Vizzit,615.0,30.0,20.5,Studio,30 m² - Studio,69008,Lyon,45.73467,4.88198,https://www.vizzit.fr/fr/property/appartement/lyon-8/Amj9jboq19ed7oir
1213,Vizzit,721.0,35.0,20.6,Appartement,2 pièce - 35 m² - s,69007,Lyon,45.7347,4.84451,https://www.vizzit.fr/fr/property/appartement/lyon-7/Awjxlr2dcsk5o8in
1161,Vizzit,571.0,18.0,31.72,Studio,18 m² - Studio,69007,Lyon,45.73472,4.83954,https://www.vizzit.fr/fr/property/appartement/lyon-7/Anlelaeqd5yfi3vr
1448,Vizzit,760.0,31.0,24.52,Studio,31 m² - Studio,69008,Lyon,45.73475,4.85713,https://www.vizzit.fr/fr/property/appartement/lyon-8/A742ue9fo7dmuu43
1209,Vizzit,655.0,27.0,24.26,Appartement,2 pièce - 27 m² - s,69007,Lyon,45.73497,4.83956,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ayt04lofl185mgtr
1393,Vizzit,1016.0,44.0,23.09,Appartement,2 pièce - 44 m² - s,69008,Lyon,45.7352,4.8803,https://www.vizzit.fr/fr/property/appartement/lyon-8/Acqzdtxscym1bwwy
1375,Vizzit,900.0,27.0,33.33,Appartement,2 pièce - 27 m² - s,69007,Lyon,45.73552,4.83787,https://www.vizzit.fr/fr/property/appartement/lyon-7/A4pmzwrpbsltvr72
1337,Vizzit,930.0,42.0,22.14,Appartement,2 pièce - 42 m² - s,69008,Lyon,45.73585,4.87336,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ac3zap28ezkww1b9
1353,Vizzit,1500.0,87.0,17.24,Appartement,4 pièce - 87 m² - s,69007,Lyon,45.73602,4.83954,https://www.vizzit.fr/fr/property/appartement/lyon-7/Atxyxncnamvo3zxw
1136,Vizzit,895.0,38.0,23.55,Appartement,2 pièce - 38 m² - s,69008,Lyon,45.73662,4.87679,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aachvx726d3c1pur
1370,Vizzit,698.0,29.0,24.07,Appartement,2 pièce - 29 m² - s,69008,Lyon,45.73674,4.85452,https://www.vizzit.fr/fr/property/appartement/lyon-8/Adx0l4jbklyoeyll
1382,Vizzit,640.0,29.0,22.07,Appartement,2 pièce - 29 m² - s,69008,Lyon,45.73674,4.85452,https://www.vizzit.fr/fr/property/appartement/lyon-8/A4r24lg04dn6bymp
1500,Vizzit,730.0,34.0,21.47,Studio,34 m² - Studio,69008,Lyon,45.73688,4.8647,https://www.vizzit.fr/fr/property/appartement/lyon-8/Atkdlodjwaa5stp6
1358,Vizzit,685.0,38.0,18.03,Appartement,2 pièce - 38 m² - s,69008,Lyon,45.73702,4.8767,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aft2gcvb1ijn4w8c
1139,Vizzit,403.0,21.0,19.19,Studio,21 m² - Studio,69008,Lyon,45.73704,4.85102,https://www.vizzit.fr/fr/property/appartement/lyon-8/A154kxcws3ittrvw
1230,Vizzit,1205.0,48.0,25.1,Appartement,2 pièce - 48 m² - s,69008,Lyon,45.73758,4.87986,https://www.vizzit.fr/fr/property/appartement/lyon-8/A0hfb82tp3xgpqmi
1400,Vizzit,950.0,65.0,14.62,Appartement,3 pièce - 65 m² - s,69008,Lyon,45.73828,4.88611,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ar1mgial88dpog5c
1401,Vizzit,610.0,21.0,29.05,Studio,21 m² - Studio,69008,Lyon,45.73852,4.86242,https://www.vizzit.fr/fr/property/appartement/lyon-8/Af97xh31p5lkactr
1566,Vizzit,779.0,29.0,26.86,Appartement,2 pièce - 29 m² - s,69007,Lyon,45.73906,4.82945,https://www.vizzit.fr/fr/property/appartement/lyon-7/Art299sioj2c6vc3
1325,Vizzit,690.0,25.0,27.6,Studio,25 m² - Studio,69008,Lyon,45.73907,4.88158,https://www.vizzit.fr/fr/property/appartement/lyon-8/A5e9g1qcfw0r81o0
1159,Vizzit,650.0,26.0,25.0,Studio,26 m² - Studio,69008,Lyon,45.7391,4.87927,https://www.vizzit.fr/fr/property/appartement/lyon-8/Agizn8lx71ttiblw
1522,Vizzit,920.0,27.0,34.07,Appartement,2 pièce - 27 m² - s,69008,Lyon,45.7395,4.86261,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aiffarr25dctkohp
1320,Vizzit,905.0,50.0,18.1,Appartement,2 pièce - 50 m² - s,69008,Lyon,45.73965,4.87385,https://www.vizzit.fr/fr/property/appartement/lyon-8/Ak4dmxxdh65gkzdy
1221,Vizzit,600.0,18.0,33.33,Studio,18 m² - Studio,69008,Lyon,45.74047,4.86279,https://www.vizzit.fr/fr/property/appartement/lyon-8/Afclkzsafydcqee9
1442,Vizzit,940.0,43.0,21.86,Appartement,2 pièce - 43 m² - s,69007,Lyon,45.74053,4.83377,https://www.vizzit.fr/fr/property/appartement/lyon-7/Au9rp92zv8qdkumg
1339,Vizzit,500.0,18.0,27.78,Studio,18 m² - Studio,69008,Lyon,45.7407,4.8699,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aji2v2x7jwd53mdt
1357,Vizzit,759.0,36.0,21.08,Studio,36 m² - Studio,69007,Lyon,45.74097,4.85142,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ahy5j4ahr7x8ravo
1295,Vizzit,481.0,20.0,24.05,Studio,20 m² - Studio,69008,Lyon,45.74149,4.86141,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aiixwrqufapqjory
1478,Vizzit,520.0,24.0,21.67,Studio,24 m² - Studio,69008,Lyon,45.74152,4.86157,https://www.vizzit.fr/fr/property/appartement/lyon-8/Atlppowravyqix82
1587,Vizzit,1850.0,74.0,25.0,Appartement,3 pièce - 74 m² - s,69002,Lyon,45.74182,4.81925,https://www.vizzit.fr/fr/property/appartement/lyon-2/Aqies6jxr22vjp50
1264,Vizzit,630.0,60.0,10.5,Appartement,4 pièce - 60 m² - s,69008,Lyon,45.74187,4.86849,https://www.vizzit.fr/fr/property/appartement/lyon-8/Adli6qazpg3mg6ic
1482,Vizzit,585.0,18.0,32.5,Studio,18 m² - Studio,69008,Lyon,45.74204,4.85884,https://www.vizzit.fr/fr/property/appartement/lyon-8/A339dm7kvu6ybrp8
1571,Vizzit,830.0,43.0,19.3,Appartement,2 pièce - 43 m² - s,69008,Lyon,45.74206,4.86052,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aub7r9ijpp6fes3w
1540,Vizzit,2100.0,77.0,27.27,Appartement,4 pièce - 77 m² - s,69007,Lyon,45.74211,4.84922,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aii9huhqnmb9qc0r
1321,Vizzit,1350.0,65.0,20.77,Appartement,3 pièce - 65 m² - s,69008,Lyon,45.7424,4.8755,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aegu9x890j7xh6bj
1360,Vizzit,830.0,47.0,17.66,Appartement,2 pièce - 47 m² - s,69002,Lyon,45.74243,4.82085,https://www.vizzit.fr/fr/property/appartement/lyon-2/Ar4tqglsul64s19v
1308,Vizzit,896.0,37.0,24.22,Studio,37 m² - Studio,69008,Lyon,45.74284,4.86154,https://www.vizzit.fr/fr/property/appartement/lyon-8/A4ne0dyke1i9h0md
1454,Vizzit,1017.0,19.0,53.53,Appartement,2 pièce - 19 m² - s,69007,Lyon,45.74293,4.84929,https://www.vizzit.fr/fr/property/appartement/lyon-7/Arsk12hecjllzu76
1174,Vizzit,983.0,39.0,25.21,Appartement,2 pièce - 39 m² - s,69008,Lyon,45.74305,4.86962,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aqahiddeoc9eihrl
1343,Vizzit,803.0,24.0,33.46,Appartement,2 pièce - 24 m² - s,69007,Lyon,45.74312,4.84788,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ag01jycnp3x6gw4b
1272,Vizzit,845.0,45.0,18.78,Appartement,2 pièce - 45 m² - s,69007,Lyon,45.74317,4.84794,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ahi5kzibv66vioiz
1551,Vizzit,579.0,29.0,19.97,Appartement,1 pièce - 29 m²,69003,Lyon,45.74332,4.88084,https://www.vizzit.fr/fr/property/appartement/lyon-3/Ax5rjihpqb2v4f7k
1513,Vizzit,710.0,25.0,28.4,Appartement,2 pièce - 25 m² - s,69007,Lyon,45.74334,4.83798,https://www.vizzit.fr/fr/property/appartement/lyon-7/Avvhecwtucm00e10
1312,Vizzit,820.0,46.0,17.83,Appartement,2 pièce - 46 m² - s,69008,Lyon,45.74353,4.86251,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aiax3lsc1q7o7odl
1323,Vizzit,890.0,40.0,22.25,Appartement,2 pièce - 40 m² - s,69008,Lyon,45.74355,4.86789,https://www.vizzit.fr/fr/property/appartement/lyon-8/Al16u5jjt5g37hhd
1256,Vizzit,1230.0,81.0,15.19,Appartement,4 pièce - 81 m² - s,69008,Lyon,45.74365,4.87205,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aofxg36oxhrs4tmh
1271,Vizzit,700.0,32.0,21.88,Studio,32 m² - Studio,69008,Lyon,45.7437,4.86174,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aewvsk0sx7ga1r34
1262,Vizzit,1050.0,60.0,17.5,Appartement,3 pièce - 60 m² - s,69007,Lyon,45.7438,4.84813,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aw62lrlevzf537jo
1287,Vizzit,731.0,37.0,19.76,Appartement,2 pièce - 37 m² - s,69002,Lyon,45.74401,4.8169,https://www.vizzit.fr/fr/property/appartement/lyon-2/A59q73og58w859ev
1126,Vizzit,1580.0,110.0,14.36,Appartement,5 pièce - 110 m² - s,69002,Lyon,45.74431,4.8183,https://www.vizzit.fr/fr/property/appartement/lyon-2/A11oren1gjmmsydb
1172,Vizzit,1390.0,82.0,16.95,Appartement,3 pièce - 82 m² - s,69007,Lyon,45.74441,4.84547,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ai5gaju591i8f839
1247,Vizzit,649.0,37.0,17.54,Appartement,2 pièce - 37 m² - s,69003,Lyon,45.74446,4.88792,https://www.vizzit.fr/fr/property/appartement/lyon-3/Akkr88s5xekd14o0
