id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,url,latitude,longitude
1,Century 21,800.0,34.5,23.19,Appartement,"1 pièce - F1 34,50 m2, Ref : 1010",69007,Lyon,https://www.century21.fr/trouver_logement/detail/15276162979/,45.72431039526028,4.843528397724506
2,Century 21,580.0,16.67,34.79,Appartement,"1 pièce - F1 16,67 m2, Ref : 20439",69008,Lyon,https://www.century21.fr/trouver_logement/detail/15274002009/,45.738513796580925,4.860565896522355
3,Century 21,812.0,45.36,17.9,Appartement,"T2 - 45,36 m2, 2 pièces Ref : 1011",69007,Lyon,https://www.century21.fr/trouver_logement/detail/15292339323/,45.73007662706885,4.849210086287755
4,Century 21,720.0,21.62,33.3,Appartement,"T1 - 21,62 m2, 1 pièce Ref : 20441",69008,Lyon,https://www.century21.fr/trouver_logement/detail/15285242312/,45.73769467096242,4.863136335563377
5,Century 21,1800.0,101.5,17.73,Appartement,"4 pièce - F4 101,50 m2, s Ref : 1852",69008,Lyon,https://www.century21.fr/trouver_logement/detail/14523630496/,45.73251599945716,4.868730623221065
6,Century 21,1070.0,57.14,18.73,Appartement,"2 pièce - F2 57,14 m2, s Ref : 1965",69008,Lyon,https://www.century21.fr/trouver_logement/detail/15064206354/,45.74459811987079,4.8719984867954915
7,Century 21,1800.0,100.65,17.88,Appartement,"3 pièce - 100,65 m2, s Ref : 39048",69001,Lyon,https://www.century21.fr/trouver_logement/detail/15274160940/,45.76846252828393,4.832903292392295
9,Century 21,565.0,19.41,29.11,Studio,"1 pièce - Studio 19,41 m2, Ref : 59566",69009,Lyon,https://www.century21.fr/trouver_logement/detail/15255209297/,45.78385915578565,4.810737171312267
10,Century 21,895.0,55.52,16.12,Appartement,"2 pièce - F2 55,52 m2, s Ref : 987",69007,Lyon,https://www.century21.fr/trouver_logement/detail/15064856154/,45.73425680193288,4.845548978582052
12,Century 21,1091.0,42.25,25.82,Appartement,"2 pièce - F2 42,25 m2, s Ref : 4029",69001,Lyon,https://www.century21.fr/trouver_logement/detail/15185134901/,45.773203328327774,4.834301051110331
13,Century 21,2000.0,105.06,19.04,Appartement,"3 pièce - F3 105,06 m2, s Ref : 774",69001,Lyon,https://www.century21.fr/trouver_logement/detail/15178276307/,45.77186369284823,4.832383890907128
14,Century 21,981.0,52.5,18.69,Appartement,"2 pièce - F2 Bis 52,50 m2, s Ref : 990",69007,Lyon,https://www.century21.fr/trouver_logement/detail/15185253004/,45.7343314352067,4.84085396238424
15,Century 21,1500.0,52.9,28.36,Appartement,"3 pièce - F3 52,90 m2, s Ref : 20372",69001,Lyon,https://www.century21.fr/trouver_logement/detail/14764436270/,45.766545174126236,4.83206380543146
16,Century 21,2500.0,170.0,14.71,Appartement,"T3 - 170 m2, 4 pièces Ref : 907",69007,Lyon,https://www.century21.fr/trouver_logement/detail/13910822966/,45.736945732819045,4.84724883237368
17,Orpi,1250.0,49.0,25.51,Studio,2 pièce - 1 chambre - Vous souhaitez vendre un bien prochainement ?Estimez - le en ligne en 5 minutes chronoEstimer mon loye rExclusivitépar mois s 49 m2 6 - Les BrotteauxMessageBon étatMeubléAscenseurEtage : 5FavorisExclusivité1 049 €par mois 1 pièce 40 m2 3 - VilletteMessageStudioBalconBon étatMeubléAscenseurEtage : 3FavorisExclusivitéVisite virtuelle916 €par mois 3 pièces 68 m2 8 - Grand TrouMessage2 chambresTerrasseBon étatNon meubléAscenseurEtage : 3FavorisExclusivité2 500 €par mois 4 pièces 135 m2 6 - Les BrotteauxMessage3 chambresBalconBon étatNon meubléAscenseurEtage : 3Favoris915 €par mois s 44 m2 3 - Place GuichardMessageBon étatMeubléEtage : 2FavorisExclusivité845 €par mois s 42 m2 3 - FérrandièreMessageCaveBon étatMeubléEtage : 2FavorisExclusivité1 409 €par mois 3 pièces 73 m2 5 - DebrousseMessage2 chambresTerrasseBon étatNon meubléAscenseurRez - de - chausséeFavorisExclusivité600 €par mois 1 pièce 77 m2 2 - ConfluenceMessageBon étatMeubléEtage : 3FavorisExclusivité600 €par moisprix en baisse 1 pièce 20 m2 2 - ConfluenceMessageBon étatMeubléEtage : 3FavorisExclusivité780 €par mois s 54 m2 5 - Saint - IrénéeMessageBon étatNon meubléEtage : 1FavorisExclusivité1 350 €par mois 4 pièces 85 m2 8 - BachutMessage3 chambresBalconCaveBon étatNon meubléAscenseurFavorisExclusivité935 €par mois s 49 m2 8 - BachutMessageBon étatNon meubléAscenseurRez - de - chausséeFavorisExclusivité1 299 €par mois 3 pièces 42 m2 5 - Saint - GeorgesMessage2 chambresBon étatMeubléAscenseurEtage : 2FavorisExclusivité677 €par mois 1 pièce 36 m2 5 - DebrousseMessageStudioBon étatMeubléAscenseurEtage : 1Favoris,69006,Lyon,https://www.orpi.com/estimer/estimation-valeur-locative/,45.771594372749824,4.852688904705897
18,Orpi,1250.0,49.0,25.51,Appartement,2 pièce - 1 chambre - Exclusivitépar mois s 49 m2 6 - Les BrotteauxMessageB on étatMeubléAscenseurEtage : 5Favoris,69006,Lyon,https://www.orpi.com/annonce-location-appartement-t2-lyon-6-69006-0a084b58-56e3-4892-8af6-91fb853ce744/,45.76579101787118,4.853437142708716
19,Orpi,1049.0,40.0,26.23,Studio,1 pièce - Exclusivitépar mois 40 m2 3 - VilletteMessageStudioBalconBon étatMeubléAscenseurEtage : 3Favoris,69003,Lyon,https://www.orpi.com/annonce-location-appartement-t1-lyon-3-69003-0c919280-bd31-4fc6-924e-1b6682a898ee/,45.74730213322478,4.854568308516617
20,Orpi,916.0,68.0,13.47,Appartement,3 pièce - 2 chambre - ExclusivitéVisite virtuellepar mois s 68 m2 8 - Grand TrouMess agesTerrasseBon étatNon meubléAscenseurEtage : 3Favoris,69008,Lyon,https://www.orpi.com/annonce-location-appartement-t3-lyon-8-69008-0337d89b-7304-4672-9f2e-d62d850bd98f/,45.74037024983076,4.873536528812179
