categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Vice - Sex-shop,manual_add,Passage du Désir,45.759775,4.855356,69003
Vice - Sex-shop,manual_add,espaceplaisir,45.766989,4.832144,69001
Vice - Sex-shop,manual_add,Love Shop (Dé)boutonné(e)s,45.769746,4.832958,69001
Vice - Sex-shop,manual_add,espaceplaisir,45.762948,4.83379,69002
Vice - Sex-shop,manual_add,La Lanterne Loveshop,45.765703,4.832034,69001
Vice - Bar,bar,La Mistura,45.7561391,4.8503915,69003
Vice - Bar,bar,MOS Bellecour,45.7576619,4.8347376,69002
Vice - Tabac,tobacco,SNC Tabac Sathonay,45.7688244,4.830026,69001
Vice - Tabac,tobacco,Inconnu,45.7774831,4.8323268,69004
Vice - CBD Shop,cannabis,High Society,45.753454,4.8292928,69002
Gentrification - Épicerie Fine,deli,Maison Cellerier,45.7408499,4.8186952,69002
Gentrification - Atelier Vélo,bicycle,Cycles Vega,45.7573154,4.8475982,69003
Nuisance - Aire de jeux,playground,Inconnu,45.7632606,4.8138187,69005
Nuisance - Discothèque,nightclub,La Plantation,45.7607288,4.8324066,69002
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7815784,4.8326014,69004
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbre L'autre rive,45.7812398,4.8325506,69004
Superstition - Pompes Funèbres,funeral_directors,Pôle funéraire public Métropole de Lyon,45.7814164,4.832557,69004
Vice - Kebab,kebab,Antalya,45.7427751,4.8698435,69008
Vice - Kebab,kebab,Lumière Kebab,45.7450863,4.8721525,69008
Vice - Kebab,kebab,Eclair Kebab,45.7320869,4.8592433,69008
Vice - Kebab,kebab,Le Cactus,45.7501499,4.8649637,69003
Vice - Kebab,kebab,Zigana,45.7750992,4.8060063,69009
Vice - Kebab,kebab,Sun Détente,45.7516448,4.8539709,69003
Vice - Kebab,kebab,K-akdeniz,45.7328519,4.8799273,69008
Vice - Kebab,kebab,Gustavo,45.7532441,4.8402022,69007
Vice - Kebab,kebab,Frie(n)ds,45.7546644,4.8425166,69007
Vice - Kebab,kebab,Nazim Baba,45.7545749,4.8424525,69007
Vice - Kebab,kebab,Le Palais des Gateries,45.7547123,4.8425509,69007
Vice - Kebab,kebab,Vargo,45.7558069,4.8431601,69003
Vice - Kebab,kebab,La Grillade,45.7559149,4.8449127,69003
Vice - Kebab,kebab,Istanbul Kebab,45.7667434,4.831037,69001
Vice - Kebab,kebab,Frau,45.7681371,4.8284947,69001
Vice - Kebab,kebab,Doya,45.751887,4.8276528,69002
Vice - Kebab,kebab,Adana Kebab,45.7476673,4.8419424,69007
Vice - Kebab,kebab,Amilcar II,45.7532324,4.8413792,69007
Vice - Kebab,kebab,Bahoz,45.7566478,4.8149861,69005
Vice - Kebab,kebab,Restaurant de l'Angle,45.7794257,4.8323943,69004
Vice - Kebab,kebab,King Tacos,45.7472426,4.8233935,69002
Vice - Kebab,kebab,Chëf,45.7435997,4.873327,69008
Vice - Kebab,kebab,Roney Kebab,45.7739653,4.8230891,69004
Vice - Kebab,kebab,Baraban Fresh Chicken,45.7549085,4.8669961,69003
Vice - Kebab,kebab,Brotteaux Kebab,45.7657018,4.8556005,69006
Vice - Kebab,kebab,Shawerman,45.7319041,4.826016,69007
Vice - Kebab,kebab,One minute Kebab,45.7863419,4.8114481,69009
Vice - Kebab,kebab,Mosaique,45.7526497,4.8519862,69003
Vice - Kebab,kebab,Mont Berliner,45.7632995,4.8554308,69003
Vice - Kebab,kebab,Kumpir’Land,45.7633554,4.8570717,69003
Vice - Kebab,kebab,Ali Baba 1,45.7309362,4.8331748,69007
Vice - Kebab,kebab,Class & Kebab,45.761698,4.8583632,69003
Vice - Kebab,kebab,Star Kebab,45.7691655,4.8525388,69006
Vice - Kebab,kebab,Mezo Mada,45.7771174,4.8321642,69004
Vice - Kebab,kebab,Reyna,45.7373064,4.8686457,69008
Vice - Kebab,kebab,Victor Hugo Kebab,45.7518191,4.8283048,69002
Vice - Kebab,kebab,Free Time,45.7567281,4.8461909,69003
Vice - Kebab,kebab,MKF Meilleur Kebab de France,45.7557004,4.8411659,69007
Vice - Kebab,kebab,Chaud Restau,45.74489,4.8490117,69007
Vice - Kebab,kebab,Beyasit,45.7595321,4.8265941,69005
Vice - Kebab,kebab,Kebab Azadi,45.7461863,4.838397,69007
Vice - Kebab,kebab,Mister Kebab,45.7475713,4.8340684,69007
Vice - Kebab,kebab,Le King,45.7391885,4.8611974,69008
Vice - Kebab,kebab,Kebab Chez Lina,45.7657566,4.8442994,69006
Vice - Kebab,kebab,CHËF Berliner Kebap,45.7685794,4.8317332,69001
Vice - Kebab,kebab,Le Marietton,45.7753487,4.8041491,69009
Vice - Kebab,kebab,Berliner,45.7413373,4.8161731,69002
Vice - Kebab,kebab,Dersim,45.7635482,4.8521747,69003
Vice - Kebab,kebab,L'Artisan Kebab,45.7380569,4.8856191,69008
Vice - Kebab,kebab,Tacos Time,45.7264012,4.8803973,69008
Vice - Kebab,kebab,King Tacos,45.7362624,4.8692125,69008
Vice - Kebab,kebab,King Tacos,45.7404575,4.8636711,69008
Vice - Kebab,kebab,Karamanli,45.7617632,4.834879,69002
Vice - Kebab,kebab,Sultan Kebab,45.7330096,4.8792478,69008
Vice - Kebab,kebab,Gerland Kebab,45.7378753,4.839745,69007
Vice - Kebab,kebab,Kebab de l'Avenue,45.7418699,4.8401093,69007
Vice - Kebab,kebab,Restaurant Valmy,45.7747775,4.8060107,69009
Vice - Kebab,kebab,Tacostore Lyon,45.7420271,4.8509688,69007
Vice - Kebab,kebab,Kebouse Grill House,45.7391,4.8291762,69007
Vice - Kebab,kebab,Inconnu,45.7675946,4.8318894,69001
Vice - Kebab,kebab,Kiosque Istanbul,45.7297583,4.8298239,69007
Vice - Tabac,tobacco,Tabac La Civette,45.7754574,4.8321522,69004
Vice - Tabac,tobacco,Tabac du Mail,45.7766425,4.8330252,69004
Vice - Tabac,tobacco,Inconnu,45.7313454,4.8593663,69008
Vice - Tabac,tobacco,Le Scott,45.7801866,4.8070707,69009
Vice - Tabac,tobacco,Tabac,45.7548372,4.8426183,69007
Vice - Tabac,tobacco,Tabac de l'Île,45.7981486,4.8304374,69009
Vice - Tabac,tobacco,Le Chiquito tabac presse loto,45.7530868,4.8303132,69002
Vice - Tabac,tobacco,Tabac-presse-loto de St Just,45.7562911,4.8176539,69005
Vice - Tabac,tobacco,La pipe,45.7469219,4.8370247,69007
Vice - Tabac,tobacco,Le diplomate,45.758868,4.834044,69002
Vice - Tabac,tobacco,Tabac des 24 colonies,45.7623186,4.8287108,69005
Vice - Tabac,tobacco,Tabac-Presse,45.7569552,4.865091,69003
Vice - Tabac,tobacco,Le Juliette,45.7656278,4.8554987,69006
Vice - Tabac,tobacco,Tabac des Facultés,45.7437012,4.87858,69003
Vice - Tabac,tobacco,Le Clike,45.7788034,4.8407882,69004
Vice - Tabac,tobacco,Inconnu,45.7418855,4.8189816,69002
Vice - Tabac,tobacco,Tabac Sigarellum,45.7540892,4.8848402,69003
Vice - Tabac,tobacco,Tabac Vaise,45.7744701,4.8069456,69009
Vice - Tabac,tobacco,Tabac presse,45.7434844,4.874143,69008
Vice - Tabac,tobacco,Tabac de l'Europe,45.7574532,4.8355519,69002
Vice - Tabac,tobacco,Le Gitana,45.7633953,4.8419972,69003
Vice - Tabac,tobacco,Le quatre-vingt-dix,45.751896,4.8468231,69007
Vice - Tabac,tobacco,Tabac Cigarestore,45.7634283,4.8327255,69002
Vice - Tabac,tobacco,Inconnu,45.7890455,4.7899043,69009
Vice - Tabac,tobacco,Tabac Duchère,45.785749,4.7948161,69009
Vice - Tabac,tobacco,Le République,45.759902,4.8359048,69002
Vice - Tabac,tobacco,Tabac Presse Loto Nars,45.750304,4.8287029,69002
Vice - Tabac,tobacco,Le Marigny,45.7506477,4.8264433,69002
Vice - Tabac,tobacco,Tabac Presse Loto,45.7381769,4.8812213,69008
Vice - Tabac,tobacco,Tabac des pierres plantées,45.7730796,4.8319092,69001
Vice - Tabac,tobacco,Le Garibaldi,45.7677484,4.8505587,69006
