id_annonce,site,prix,surface,prix_m2,type,description,description_raw,description_detail,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,statut,derniere_verification_http,sur_carte,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m,source_localisation,position_fiable,precision_localisation,archive_le
1197,Vizzit,1021.0,48.0,21.27,Appartement,2 pièce - 48 m² - s,,type 2 meublé avec parking cave grande terasse + cuisne equipée La location pourra être déléguée à Foncia Développement et Location.,59000,Lille,50.635247,3.05416,https://www.vizzit.fr/fr/property/appartement/lille/A7t2cf5sqipb6n6c,,2026-09-25,a_verifier,,False,Lille-Centre,T2,,0.0,67.0,62.0,634.0,0.0,400.0,1.0,447.0,1.0,463.0,1.0,177.0,2.0,212.0,6.0,336.0,1.0,312.0,1.0,248.0,7.0,561.0,0.0,321.0,7.0,179.0,2.0,1191.0,0.0,1659.0,0.0,572.0,0.0,595.0,0.0,1404.0,0.0,2029.0,0.0,gps,,,2026-09-25
1198,Vizzit,882.0,42.0,21.0,Appartement,2 pièce - 1 chambre - 42 m² - s,,"(FA) À louer: charmant appartement 1 chambre de 42,5 m², idéalement situé à Lille. Niché dans une copropriété de 1998 en bon état général, ce logement lumineux offre un séjour accueillant, une chambre confortable et une disposition fonctionnelle. La cuisine ouverte optimise l'espace et laisse place à une vie quotidienne agréable. Salle de bains bien entretenue, rangements pratiques et finitions soignées complètent le bien. Un atout rare en centre-ville: une place de parking intérieure sécurisée, parfaite pour les citadins ou les couples avec véhicule. Grâce à son emplacement proche des commerces, transports et services, tout se fait à pied ou en quelques minutes, facilitant votre quotidien. Loyer demandé: 935 EUR par mois. Disponible rapidement, ce logement conviendra parfaitement à une personne seule ou un couple recherchant confort et tranquillité en ville. Contactez-nous pour plus d'informations ou pour organiser une visite et découvrir ce bien sans tarder. Votre agence immobilière vous invite à découvrir toutes les originalités de cette maison en vente en prenant RDV avec l'un de nos conseillers immobilier.",59000,Lille,50.64911,3.06206,https://www.vizzit.fr/fr/property/appartement/lille/Ajic3lqjutjtm4k4,,2026-09-25,a_verifier,,False,Vieux-Lille,T2,,0.0,325.0,7.0,1804.0,0.0,1768.0,0.0,362.0,1.0,1188.0,0.0,89.0,4.0,661.0,0.0,1944.0,0.0,1022.0,0.0,565.0,0.0,2200.0,0.0,410.0,1.0,702.0,0.0,1964.0,0.0,1792.0,0.0,1022.0,0.0,1173.0,0.0,1599.0,0.0,1399.0,0.0,gps,,,2026-09-25
1200,Vizzit,886.0,46.0,19.26,Appartement,2 pièce - 1 chambre - 46 m² - s,,"Vieux Lille (VLMO1206) A proximité de la place Louise de Bettignies, superbe appartement T2 Entièrement rénové. Celui ci se compose d'une entrée avec un grand espace rangements, un séjour lumineux avec cuisine équipée couette, une chambre et salle de bains. Appartement au calme, donnant sur la cour intérieur de l'immeuble. Disponible de suite. Loyer: 890 euros/mois + 50 euros de charges Alyette GRONERT chez FAELENS Immobilier ou Retrouvez toutes nos offres et exclusivités sur notre site. Honoraires de 598 € TTC à la charge du locataire comprenant 138 € TTC pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 868 €/mois. Loyer de base 890 €/mois. 50 €/mois de charges forfaitaires. Dépôt de garantie 890 €. Classe énergie C, Classe climat A Montant estimé des dépenses annuelles d'énergie pour un usage standard: entre 560.00 € et 810.00 € sur les années 2021, 2022 et 2023 (abonnements compris). Carte pro. CPI.",59000,Lille,50.64644606215799,3.062859122890805,https://www.vizzit.fr/fr/property/appartement/lille/Axjrs6wn4up4sohk,,2026-09-25,a_verifier,,False,Vieux-Lille,T2,,0.0,126.0,22.0,1508.0,0.0,1472.0,0.0,348.0,1.0,928.0,0.0,248.0,5.0,361.0,1.0,1678.0,0.0,733.0,0.0,269.0,3.0,1947.0,0.0,337.0,5.0,448.0,1.0,1665.0,0.0,1529.0,0.0,733.0,0.0,872.0,0.0,1322.0,0.0,1240.0,0.0,gps,,,2026-09-25
1201,Vizzit,865.0,44.0,19.66,Appartement,2 pièce - 1 chambre - 44 m² - s,,"Rue de la monnaie, en plein coeur du Vieux Lille. T2 meublé de 45 m². Il se compose d'une belle pièce de vie ouverte sur la cuisine équipée, d'une grande chambre et d'une salle de bains. Profil CDI Disponible dès maintenant. Surface du logement: 44.74m². Loyer: 857.08€ + 60.00€ de provisions sur charges par mois (Eau froide, Parties communes), soit 917.08€ charges comprises. Dépôt de garantie: 1714.16€. Honoraires locataire: 586.99€ TTC (dont 135.56€ d'état des lieux). Zone soumise à l'encadrement des loyers: OUI. Loyer de référence: 16.80€/m² soit 751.63€. Loyer de référence majoré: 20.20€/m² soit 903.75€. Complément de loyer: 0.00€. Réf: XLI.",59000,Lille,50.64557238450408,3.051468734522869,https://www.vizzit.fr/fr/property/appartement/lille/Avhob5j2se8hrvbo,,2026-09-25,a_verifier,,False,Vieux-Lille,T2,,0.0,196.0,13.0,1606.0,0.0,1477.0,0.0,492.0,1.0,866.0,0.0,222.0,2.0,861.0,0.0,1500.0,0.0,931.0,0.0,632.0,0.0,1675.0,0.0,374.0,3.0,537.0,0.0,1992.0,0.0,2109.0,0.0,931.0,0.0,1074.0,0.0,1856.0,0.0,2013.0,0.0,gps,,,2026-09-25
1211,Vizzit,550.0,20.0,27.5,Studio,20 m² - Studio,,,59000,Lille,50.609,3.044,https://www.vizzit.fr/fr/property/appartement/lille/A45faqxzq23wyl43,,2026-08-12,a_verifier,,False,Lille-Sud,Studio/T1,,0.0,442.0,1.0,1230.0,0.0,2445.0,0.0,1965.0,0.0,195.0,2.0,128.0,15.0,2073.0,0.0,508.0,0.0,656.0,0.0,602.0,0.0,42.0,1.0,165.0,6.0,432.0,1.0,1159.0,0.0,3858.0,0.0,2550.0,0.0,756.0,0.0,2246.0,0.0,424.0,3.0,gps,,,2026-09-25
1212,Vizzit,494.0,26.0,19.0,Appartement,1 pièce - 26 m²,,,59000,Lille,50.61467,3.038642,https://www.vizzit.fr/fr/property/appartement/lille/Agfn8akenbv3o9wf,,2026-08-12,a_verifier,,False,Faubourg de Béthune,Studio/T1,,0.0,609.0,0.0,765.0,0.0,2057.0,0.0,1467.0,0.0,450.0,1.0,346.0,3.0,1961.0,0.0,575.0,0.0,614.0,0.0,651.0,0.0,697.0,0.0,413.0,2.0,634.0,0.0,969.0,0.0,3658.0,0.0,2180.0,0.0,568.0,0.0,2137.0,0.0,961.0,0.0,gps,,,2026-09-25
1213,Vizzit,680.0,26.0,26.15,Studio,26 m² - Studio,,,59000,Lille,50.6216688,3.0354156,https://www.vizzit.fr/fr/property/appartement/lille/Aqnl9u56qdsnm3pz,,2026-08-12,a_verifier,,False,Faubourg de Béthune,Studio/T1,,0.0,677.0,0.0,47.0,1.0,1610.0,0.0,1027.0,0.0,667.0,0.0,222.0,22.0,1812.0,0.0,82.0,1.0,685.0,0.0,703.0,0.0,893.0,0.0,186.0,8.0,47.0,1.0,458.0,1.0,3396.0,0.0,1813.0,0.0,1036.0,0.0,2101.0,0.0,1568.0,0.0,gps,,,2026-09-25
1214,Vizzit,1039.0,75.0,13.85,Appartement,3 pièce - 75 m² - s,,,59000,Lille,50.62194,3.080512,https://www.vizzit.fr/fr/property/appartement/lille/Ag2h7jddglg3oiw4,,2026-08-12,a_verifier,,False,Lille-Moulins,T3,,0.0,494.0,1.0,1479.0,0.0,1728.0,0.0,1549.0,0.0,488.0,1.0,193.0,6.0,203.0,1.0,593.0,0.0,67.0,2.0,756.0,0.0,670.0,0.0,172.0,1.0,929.0,0.0,1352.0,0.0,1617.0,0.0,1842.0,0.0,973.0,0.0,1129.0,0.0,2319.0,0.0,gps,,,2026-09-25
1215,Vizzit,574.0,30.0,19.13,Studio,30 m² - Studio,,,59000,Lille,50.62238,3.04699,https://www.vizzit.fr/fr/property/appartement/lille/Aqtg5tfo8u1q4e69,,2026-08-12,a_verifier,,False,Wazemmes,Studio/T1,,0.0,213.0,11.0,392.0,2.0,1017.0,0.0,463.0,4.0,189.0,1.0,4.0,27.0,1127.0,0.0,387.0,1.0,133.0,3.0,314.0,9.0,226.0,2.0,79.0,6.0,513.0,0.0,526.0,0.0,2662.0,0.0,1141.0,0.0,754.0,0.0,1281.0,0.0,1198.0,0.0,gps,,,2026-09-25
1216,Vizzit,800.0,44.0,18.18,Appartement,2 pièce - 44 m² - s,,,59000,Lille,50.622447,3.055847,https://www.vizzit.fr/fr/property/appartement/lille/Afk32vxr3vom8rdt,,2026-08-12,a_verifier,,False,Wazemmes,T2,,0.0,127.0,12.0,392.0,1.0,809.0,0.0,585.0,0.0,385.0,2.0,299.0,21.0,507.0,0.0,371.0,1.0,195.0,2.0,137.0,5.0,405.0,1.0,104.0,7.0,703.0,0.0,562.0,0.0,2181.0,0.0,885.0,0.0,769.0,0.0,670.0,0.0,1198.0,0.0,gps,,,2026-09-25
