id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
62,Vizzit,2100.0,77.0,27.27,Appartement,4 pièce - 77 m² - s,69007,Lyon,45.74211,4.84922,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aii9huhqnmb9qc0r,Guillotière / Jean Macé,Grand (T4+),2021.0,0,473.0,1,594.0,0,1329.0,0,820.0,0,430.0,1,370.0,3,147.0,1,159.0,5,430.0,3,136.0,2,480.0,1,66.0,3,427.0,1,1114.0,0,4750.0,0,430.0,1,1341.0,0,3407.0,0,444.0,2
74,Vizzit,1230.0,81.0,15.19,Appartement,4 pièce - 81 m² - s,69008,Lyon,45.74365,4.87205,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aofxg36oxhrs4tmh,Monplaisir / Bachut,Grand (T4+),2212.0,0,155.0,3,163.0,3,2284.0,0,440.0,1,655.0,0,251.0,5,1718.0,0,394.0,2,97.0,2,99.0,3,834.0,0,169.0,16,169.0,2,560.0,0,4809.0,0,2050.0,0,189.0,1,4167.0,0,1336.0,0
75,Vizzit,700.0,32.0,21.88,Studio,32 m² - Studio,69008,Lyon,45.7437,4.86174,https://www.vizzit.fr/fr/property/appartement/lyon-8/Aewvsk0sx7ga1r34,Monplaisir / Bachut,Studio/T1,1855.0,0,332.0,1,432.0,1,1636.0,0,419.0,1,310.0,1,31.0,5,1052.0,0,553.0,0,340.0,1,390.0,1,829.0,0,206.0,7,280.0,3,568.0,0,4618.0,0,1253.0,0,370.0,1,3669.0,0,548.0,0
76,Vizzit,1050.0,60.0,17.5,Appartement,3 pièce - 60 m² - s,69007,Lyon,45.7438,4.84813,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aw62lrlevzf537jo,Guillotière / Jean Macé,T3,1863.0,0,277.0,1,515.0,0,1132.0,0,623.0,0,228.0,1,164.0,3,336.0,1,288.0,5,237.0,3,139.0,2,303.0,1,240.0,5,574.0,0,1207.0,0,4568.0,0,237.0,1,1386.0,0,3202.0,0,530.0,0
77,Vizzit,731.0,37.0,19.76,Appartement,2 pièce - 37 m² - s,69002,Lyon,45.74401,4.8169,https://www.vizzit.fr/fr/property/appartement/lyon-2/A59q73og58w859ev,Confluence,T2,2480.0,0,126.0,5,286.0,1,1424.0,0,378.0,1,271.0,1,74.0,6,649.0,0,1527.0,0,137.0,2,302.0,1,1034.0,0,210.0,5,544.0,0,939.0,0,5317.0,0,1154.0,0,1436.0,0,3238.0,0,1971.0,0
78,Vizzit,1580.0,110.0,14.36,Appartement,5 pièce - 110 m² - s,69002,Lyon,45.74431,4.8183,https://www.vizzit.fr/fr/property/appartement/lyon-2/A11oren1gjmmsydb,Confluence,Grand (T4+),2396.0,0,207.0,7,275.0,1,1327.0,0,386.0,2,264.0,1,114.0,7,715.0,0,1414.0,0,129.0,3,369.0,1,969.0,0,114.0,5,431.0,1,908.0,0,5232.0,0,1044.0,0,1335.0,0,3167.0,0,1955.0,0
79,Vizzit,1390.0,82.0,16.95,Appartement,3 pièce - 82 m² - s,69007,Lyon,45.74441,4.84547,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ai5gaju591i8f839,Guillotière / Jean Macé,T3,1873.0,0,120.0,3,471.0,2,1061.0,0,576.0,0,121.0,1,145.0,2,477.0,1,501.0,0,81.0,4,280.0,2,93.0,1,218.0,3,615.0,0,1164.0,0,4522.0,0,81.0,1,1494.0,0,3081.0,0,489.0,1
80,Vizzit,649.0,37.0,17.54,Appartement,2 pièce - 37 m² - s,69003,Lyon,45.74446,4.88792,https://www.vizzit.fr/fr/property/appartement/lyon-3/Akkr88s5xekd14o0,Montchat,T2,3047.0,0,633.0,0,724.0,0,3377.0,0,627.0,0,1056.0,0,96.0,3,2692.0,0,504.0,0,558.0,0,734.0,0,1833.0,0,419.0,1,639.0,0,1653.0,0,5245.0,0,3275.0,0,1405.0,0,5027.0,0,2554.0,0
81,Vizzit,995.0,45.0,22.11,Appartement,2 pièce - 45 m² - s,69002,Lyon,45.74454,4.82216,https://www.vizzit.fr/fr/property/appartement/lyon-2/Ajep9oeofeu8juh3,Confluence,T2,2237.0,0,133.0,8,385.0,1,1135.0,0,488.0,2,388.0,1,163.0,7,661.0,0,1131.0,0,178.0,3,315.0,1,909.0,0,88.0,6,182.0,2,830.0,0,5063.0,0,744.0,0,1122.0,0,3046.0,0,1735.0,0
465,Century 21,700.0,21.62,32.38,Appartement,"T1 - 21,62 m2, 1 pièce Ref : 20465",69008,Lyon,45.731807797325146,4.861480274652183,https://www.century21.fr/trouver_logement/detail/15398798111/,Monplaisir / Bachut,Studio/T1,3146.0,0,285.0,1,172.0,2,2717.0,0,1531.0,0,612.0,0,232.0,6,213.0,1,1082.0,0,833.0,0,176.0,1,719.0,0,94.0,6,489.0,1,876.0,0,5926.0,0,1920.0,0,1536.0,0,4821.0,0,829.0,0
466,Century 21,912.0,41.91,21.76,Appartement,"1 pièce - F1 41,91 m2, Ref : 1026",69007,Lyon,45.745167724029216,4.847538770406696,https://www.century21.fr/trouver_logement/detail/15395801985/,Guillotière / Jean Macé,Studio/T1,1734.0,0,162.0,5,364.0,2,976.0,0,469.0,1,104.0,1,37.0,3,494.0,1,422.0,1,115.0,4,118.0,2,227.0,1,135.0,6,547.0,0,1112.0,0,4421.0,0,141.0,1,1421.0,0,3043.0,0,629.0,0
467,Century 21,840.0,71.2,11.8,Appartement,"3 pièce - 71,20 m2, s Ref : 22624",69009,Lyon,45.76360978577136,4.804561295271628,https://www.century21.fr/trouver_logement/detail/15321278025/,Vaise / Valmy,T3,2144.0,0,516.0,0,547.0,0,1203.0,0,1234.0,0,924.0,0,429.0,4,980.0,0,554.0,0,179.0,1,1120.0,0,1017.0,0,420.0,3,672.0,0,193.0,1,4417.0,0,1080.0,0,1217.0,0,2353.0,0,539.0,0
468,Century 21,1600.0,100.65,15.9,Appartement,"3 pièce - 100,65 m2, s Ref : 39048",69001,Lyon,45.769288404710345,4.8197947836891855,https://www.century21.fr/trouver_logement/detail/15274160940/,Pentes Croix-Rousse,T3,991.0,0,175.0,7,795.0,0,954.0,0,328.0,1,444.0,2,129.0,7,568.0,0,1071.0,0,435.0,1,579.0,0,1052.0,0,207.0,12,481.0,1,797.0,0,3082.0,0,435.0,1,1112.0,0,1044.0,0,977.0,0
469,Century 21,1305.0,91.33,14.29,Appartement,"4 pièce - F4 91,33 m2, s Ref : 20463",69003,Lyon,45.754108837885134,4.875602232527961,https://www.century21.fr/trouver_logement/detail/15387352898/,Montchat,Grand (T4+),1692.0,0,100.0,3,717.0,0,2059.0,0,725.0,0,681.0,0,203.0,3,1842.0,0,1166.0,0,892.0,0,674.0,0,1893.0,0,172.0,10,655.0,0,1013.0,0,3841.0,0,2052.0,0,1176.0,0,3633.0,0,2065.0,0
