id_annonce,site,prix,surface,prix_m2,type,description,description_detail,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,statut,derniere_verification_http,sur_carte,source_localisation,precision_localisation,position_fiable,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
1,Vizzit,1500.0,110.0,13.64,Appartement,5 pièce - 4 chambre - 110 m² - s - s,"A LOUER - LYON 8° - RUE PUISARD - Appartement F5 de 110.28 m² au 5ème étage d'un immeuble neuf avec ascenseur comprenant un séjour avec coin cuisine aménagée, quatre chambres, salle d'eau avec WC, salle de bains, WC, 2 terrasses et un garage double. Chauffage individuel gaz. Location soumise à plafonds de ressources PINEL. Garage double indissociable 90€, en plus. Zone soumise à encadrement des loyers : Prix de référence : 11.70 €/m² Prix majoré : 14.",69008,Lyon,45.722973,4.877555,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A1o60fgjrwhm63mj,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Grand (T4+),4440.0,0,492.0,1,1005.0,0,4198.0,0,2597.0,0,126.0,1,345.0,1,1718.0,0,1219.0,0,1001.0,0,440.0,1,1782.0,0,301.0,3,1113.0,0,1890.0,0,7134.0,0,3488.0,0,2450.0,0,6274.0,0,2386.0,0
2,Vizzit,942.0,65.0,14.49,Appartement,3 pièce - 2 chambre - 65 m² - s - s,"A LOUER - LYON 8 - Rue Hugues Guerin, Immeuble neuf, bel appartement F3 au troisième étage d'une surface de 65.82 m² avec loggia de 5.68m² comprenant un dégagement, un séjour avec coin cuisine aménagée, deux chambres , une salle de bains , un WC. Un garage fait partie de la location. Chauffage par caloporteur. Soumis à Loi PINEL ( plafonds de ressources ) Zone soumise à encadrement des loyers : ref : 12.50€ ref majoré : 15.00€ Bail à part pour garage.",69008,Lyon,45.72336,4.87648,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Aho0tx8ea5cdcjtc,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,T3,4368.0,0,566.0,0,1025.0,0,4115.0,0,2530.0,0,75.0,1,433.0,1,1625.0,0,1173.0,0,934.0,0,455.0,1,1706.0,0,284.0,6,1020.0,0,1818.0,0,7070.0,0,3399.0,0,2389.0,0,6194.0,0,2297.0,0
3,Vizzit,680.0,33.0,20.61,Studio,33 m² - Studio,"Lyon 08 non loin des transports. Studio meublé de 33 m², disponible pour un loyer de 725 € charges incluses. Le locataire dispose d'un local de stockage, d'un ascenseur, d'une possibilité de stationnement. Pas loin de la station États-Unis Viviani (T4).",69008,Lyon,45.7234,4.8774,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Ay4tumfdtveip2bj,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Studio/T1,4392.0,0,495.0,1,975.0,0,4152.0,0,2548.0,0,79.0,1,364.0,1,1683.0,0,1171.0,0,952.0,0,407.0,1,1735.0,0,257.0,5,1077.0,0,1842.0,0,7085.0,0,3446.0,0,2401.0,0,6227.0,0,2344.0,0
4,Vizzit,1607.0,120.0,13.39,Appartement,5 pièce - 4 chambre - 120 m² - s - s,"A LOUER - LYON 8 - Rue Hugues Guerin, Immeuble neuf, bel appartement F5 au troisième étage , d'une surface de 120.4 m² avec deux terrasses de 45.67m² et 74.43m² comprenant un dégagement, un séjour avec coin cuisine aménagée, quatre chambres , une salle d'eau , une salle de bains, un WC. Un garage fait partie de la location. Chauffage par caloporteur. Garage en sus indissociable 62€ Soumis à Loi PINEL ( plafonds de ressources ) Zone soumise à encadrement des loyers : ref : 11.70€ ref majoré : 14.",69008,Lyon,45.724129,4.875106,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Aluyr0kzmbjj2hcu,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Grand (T4+),4250.0,0,668.0,0,1041.0,0,3985.0,0,2418.0,0,134.0,1,430.0,1,1489.0,0,1093.0,0,827.0,0,482.0,1,1583.0,0,287.0,6,884.0,0,1699.0,0,6961.0,0,3263.0,0,2284.0,0,6067.0,0,2161.0,0
5,Vizzit,657.0,25.0,26.28,Appartement,1 pièce - 25 m²,"Situé en face du nouveau quartier Grand Parilly, rue Victor Roger et Thomas (très calme). Idéalement situé au cœur du quartier Grand Parily, et à quelques minutes du très agréable quartier Monplaisir, il dispose de tous les équipements nécessaires. :La cuisine est entièrement équipée avec frigo, lave-linge, micro-ondes, plaques électriques, bouilloire, grille-pain, thés, vaisselle, casseroles, poêles et ustensiles de cuisine.",69008,Lyon,45.72443,4.8848,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Azbf5uiqlplxw3x8,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Studio/T1,4546.0,0,95.0,2,646.0,0,4422.0,0,2592.0,0,621.0,0,290.0,6,2151.0,0,1237.0,0,1191.0,0,406.0,1,1988.0,0,175.0,3,997.0,0,2058.0,0,7153.0,0,3806.0,0,2500.0,0,6451.0,0,2720.0,0
6,Vizzit,737.0,56.0,13.16,Appartement,3 pièce - 2 chambre - 56 m² - s - s,"8 Bis Rue Hugues Guérin, 69008 Lyon Dans une résidence de standing avec piscine, au cœur du 8ᵉ arrondissement de Lyon, cet appartement de type 3 d'une superficie de 56 m² est situé au dernier étage. Il se compose d'un séjour donnant sur un agréable balcon, d'une cuisine ouverte aménagée et équipée, de deux chambres avec placards, d'une salle de bains, ainsi que d'un WC indépendant. En annexe, vous bénéficierez d'un parking. Les charges comprennent l'entretien des parties communes ainsi que l'eau froide. Le chauffage et l'eau chaude sont individuels électriques. La visite virtuelle: Disponible à partir du . /! \ Pour visiter, rien de plus simple: faites la demande de contact en complétant le formulaire et vous recevrez un lien qui vous permettra de réserver une visite. Si vous n'avez aucun créneau de visite disponible à la réservation, cela signifie que le nombre maximum de visites prévu pour le moment a été atteint. /! \.",69008,Lyon,45.72572,4.87868,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/An3l566yha393jg2,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,T3,4197.0,0,432.0,2,717.0,0,4005.0,0,2343.0,0,240.0,1,329.0,5,1657.0,0,927.0,0,765.0,0,153.0,1,1569.0,0,46.0,8,827.0,0,1661.0,0,6865.0,0,3346.0,0,2181.0,0,6062.0,0,2250.0,0
7,Vizzit,1088.0,79.0,13.77,Appartement,3 pièce - 79 m² - s,"75 RUE PHILIPPE FABIA - 69008Au 5ème étage d'un immeuble avec ascenseur, cet appartement meublé de 3 pièces offre un cadre de vie agréable et fonctionnel. Une entrée avec rangements ouvre sur un séjour lumineux, prolongé par une cuisine indépendante. Deux chambres complètent l'ensemble, accompagnées d'une salle d'eau avec W.C. séparés. Chauffage et eau chaude collectifs au gaz. La location pourra être déléguée à Foncia Développement et Location.",69008,Lyon,45.72579,4.87022,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Ae2vlexhvckbe3r4,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,T3,3951.0,0,797.0,0,753.0,0,3627.0,0,2161.0,0,550.0,0,503.0,0,1070.0,0,1025.0,0,671.0,0,793.0,0,1288.0,0,317.0,4,468.0,1,1425.0,0,6695.0,0,2869.0,0,2062.0,0,5721.0,0,1771.0,0
8,Vizzit,610.0,40.0,15.25,Appartement,2 pièce - 40 m² - s,"67 RUE DE MARSEILLE - 69007Appartement 2 pièces situé au 5ème et dernier étage sans ascenseur comprenant une entrée, une cuisine aménagée et équipée (cuisinière et hotte) ouverte sur le séjour ainsi qu'une salle d'eau avec W.C. La location pourra être déléguée à Foncia Développement et Location.",69007,Lyon,45.72593,4.82397,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Ajkr15crdi1ea6oa,,2026-09-24,active,,True,gps,,True,Gerland,T2,4186.0,0,761.0,0,1109.0,0,3043.0,0,640.0,0,876.0,0,169.0,3,601.0,0,2731.0,0,172.0,1,623.0,0,659.0,0,200.0,1,574.0,0,397.0,1,6912.0,0,2151.0,0,3031.0,0,5046.0,0,2202.0,0
9,Vizzit,2524.0,150.0,16.83,Appartement,5 pièce - 150 m² - 500 m² de terrain - s,"Bail meublé d'un an renouvelable ou bail mobilité 10 mois possible. Afin de sécuriser la location, nous demandons les garanties Smartgarant ou garantme. Les visites auront lieu les 17 et 18 septembre, après réception des dossiers complets. UNE MAISON SPACIEUSE (200m2 au sol, 150m2 habitables) AVEC PISCINE ET JARDIN au calme absolu : Profitez d'une maison entièrement équipée avec trois chambres dotées de lits doubles, deux salles de bain dont une avec baignoire, un grand séjour lumineux, une cuisine moderne, un coin salle de sport, un bureau, une piscine chauffée et un agréable espace extérieur avec mobilier de jardin. Le logement 100% CONFORT → UNE MAISON SPACIEUSE AVEC PISCINE CHAUFFEE : Découvrez cette superbe maison entièrement équipée, idéale pour une famille, et pourquoi pas pour une mobilité professionnelle. Vous profiterez d'un grand espace de vie lumineux avec un salon confortable, télévisions connectées, video-projecteur avec écran motorisé, et une décoration moderne pensée pour votre confort. → UNE CUISINE ENTIÈREMENT ÉQUIPÉE : cuisine moderne disposant de plaques de cuisson, four, micro-ondes, réfrigérateur/congélateur, lave-vaisselle, machine à café, bouilloire, grille-pain, vaisselle et tous les ustensiles nécessaires. → TROIS CHAMBRES CONFORTABLES CLIMATISEES (clim réversible): Les trois chambres sont équipées d'un lit double. Des espaces de rangement sont également à votre disposition. → DEUX SALLES DE BAIN : La maison dispose de deux salles de bain modernes, dont une avec une agréable baignoire a jets , ainsi que trois toilettes pour plus de confort. → UN EXTÉRIEUR PENSÉ POUR LA DÉTENTE : piscine chauffée, le jardin et le mobilier extérieur → 2 PLACES DE PARKING PRIVEES possibilité de charger une voiture . → DES ÉQUIPEMENTS PREMIUM : télévision, lave-linge, vidéo-projecteur et écran géant → UN SECTEUR CALME DU 8ᵉ ARRONDISSEMENT : Secteur Grand Parilly. La maison bénéficie d'un environnement agréable, tout en restant proche du centre de Lyon et des axes routiers. → COMMERCES À PROXIMITÉ : Boulangeries, supermarchés, restaurants, pharmacies et commerces du quotidien sont accessibles en quelques minutes. → TRANSPORTS EN COMMUN : Les transports à proximité permettent de rejoindre rapidement le centre-ville, la Presqu'île, Bellecour, Part-Dieu, le Vieux Lyon. Tram T4 à 5 min à pied, métro ligne D à 10min à pieds 2 263 €/mois 11,61 €/m² Complément de loyer 307 €/mois Charge de 120 euros , comprenant l'eau , les ordures ménagères. Internet haut débit compris dans la location",69008,Lyon,45.72653,4.87702,https://www.vizzit.fr/fr/property/immobilier/lyon-8eme/Aqmr7rq1bicgkeh1,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Grand (T4+),4061.0,0,529.0,0,762.0,0,3855.0,0,2211.0,0,283.0,1,180.0,5,1504.0,0,822.0,0,622.0,0,263.0,1,1421.0,0,59.0,6,780.0,0,1518.0,0,6742.0,0,3189.0,0,2057.0,0,5916.0,0,2093.0,0
10,Vizzit,902.0,69.0,13.07,Appartement,3 pièce - 2 chambre - 69 m² - s - s,"Résidence neuve avenue Général Frère à Lyon 8 Pas de visite possible - commercialisation sur plan (pas de visite possible) - livraison le logements disponibles T3 de 69 m², dispose d'une entrée avec rangements, 2 chambres, un WC indépendant, une salle d'eau et un séjour ouvert sur la cuisine non-équipée donnant sur un balcon. Garage en sous-sol en supplément: 55 €/mois CC. Loyer CC: à partir de 1004.33 € dont 42.92 € de charges comprenant l'entretien des parties communes et entretien de la chaudière Eau chaude, chauffage individuel gaz Eau froide individuelle. Dépôt de garantie: 961 € PAS DE FRAIS D'AGENCE. Logements sociaux et soumis à des conditions de ressources.",69008,Lyon,45.72661,4.88257,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Aegy0zehyc2sda9l,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,T3,4250.0,0,133.0,2,454.0,1,4127.0,0,2334.0,0,533.0,0,219.0,15,1911.0,0,940.0,0,904.0,0,170.0,1,1694.0,0,126.0,6,720.0,0,1761.0,0,6866.0,0,3523.0,0,2205.0,0,6153.0,0,2443.0,0
