id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
1,Vizzit,676.0,20.0,33.8,Studio,20 m² - Studio,69007,Lyon,45.71739,4.82934,https://www.vizzit.fr/fr/property/appartement/lyon-7/Akrqffc194vev8gd,,,Gerland,Studio/T1,5078.0,0,3924.0,0,5719.0,0,4010.0,0,2632.0,0,4660.0,0,2349.0,0,4825.0,0,3246.0,0,1204.0,0,3351.0,0,6622.0,0,2006.0,0,1389.0,0,2091.0,0,,0,,0,,0,,0,,0
2,Vizzit,700.0,21.0,33.33,Appartement,1 pièce - 21 m²,69008,Lyon,45.72416,4.85201,https://www.vizzit.fr/fr/property/appartement/lyon-8/A9rckhrzlbb6v1vl,,,Monplaisir / Bachut,Studio/T1,3969.0,0,2857.0,0,5251.0,0,3704.0,0,3020.0,0,3703.0,0,1902.0,0,4342.0,0,1857.0,0,1575.0,0,3394.0,0,6105.0,0,1839.0,0,866.0,0,1546.0,0,,0,,0,,0,,0,,0
3,Vizzit,940.0,60.0,15.67,Appartement,3 pièce - 60 m² - s,69008,Lyon,45.72472,4.88432,https://www.vizzit.fr/fr/property/appartement/lyon-8/A9c0mt9e8ff2e0ie,,,Monplaisir / Bachut,T3,4500.0,0,3198.0,0,6465.0,0,5332.0,0,5233.0,0,3257.0,0,685.0,0,5680.0,0,1190.0,0,1142.0,0,5351.0,0,7160.0,0,4055.0,0,956.0,0,3672.0,0,,0,,0,,0,,0,,0
4,Vizzit,912.0,41.0,22.24,Studio,41 m² - Studio,69007,Lyon,45.72517,4.83742,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ajf3l74w4gl5wz60,,,Gerland,Studio/T1,4092.0,0,2976.0,0,4888.0,0,3208.0,0,2123.0,0,3661.0,0,1403.0,0,3973.0,0,2178.0,0,570.0,0,2685.0,0,5783.0,0,1132.0,0,647.0,0,1088.0,0,,0,,0,,0,,0,,0
5,Vizzit,1200.0,84.0,14.29,Appartement,4 pièce - 84 m² - s,69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7/Ay9qilldi03z17dp,,,Gerland,Grand (T4+),3748.0,0,2667.0,0,4615.0,0,2957.0,0,2021.0,0,3329.0,0,1119.0,0,3697.0,0,1827.0,0,634.0,0,2499.0,0,5504.0,0,910.0,0,573.0,0,778.0,0,,0,,0,,0,,0,,0
6,Vizzit,1600.0,78.0,20.51,Appartement,4 pièce - 78 m² - s,69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aui02d6p50u8enyw,,,Gerland,Grand (T4+),3748.0,0,2667.0,0,4615.0,0,2957.0,0,2021.0,0,3329.0,0,1119.0,0,3697.0,0,1827.0,0,634.0,0,2499.0,0,5504.0,0,910.0,0,573.0,0,778.0,0,,0,,0,,0,,0,,0
7,Vizzit,950.0,42.0,22.62,Appartement,2 pièce - 42 m² - s,69008,Lyon,45.7287,4.88464,https://www.vizzit.fr/fr/property/appartement/lyon-8/Az3cq9jlmjih8n22,,,Monplaisir / Bachut,T2,4136.0,0,2852.0,0,6153.0,0,4989.0,0,5030.0,0,2818.0,0,242.0,1,5396.0,0,859.0,0,931.0,0,5181.0,0,6821.0,0,3692.0,0,556.0,0,3585.0,0,,0,,0,,0,,0,,0
8,Vizzit,710.0,31.0,22.9,Studio,31 m² - Studio,69007,Lyon,45.72985,4.83165,https://www.vizzit.fr/fr/property/appartement/lyon-7/Am7miq8sup14jm8m,,,Gerland,Studio/T1,3684.0,0,2535.0,0,4336.0,0,2631.0,0,1438.0,0,3295.0,0,982.0,0,3434.0,0,2062.0,0,174.0,2,2037.0,0,5238.0,0,618.0,0,119.0,2,815.0,0,,0,,0,,0,,0,,0
9,Vizzit,995.0,55.0,18.09,Appartement,2 pièce - 55 m² - s,69007,Lyon,45.73033,4.83491,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aq0an27l4p52nh51,,,Gerland,T2,3628.0,0,2429.0,0,4297.0,0,2608.0,0,1563.0,0,3158.0,0,848.0,0,3386.0,0,1845.0,0,343.0,3,2082.0,0,5195.0,0,534.0,0,140.0,2,609.0,0,,0,,0,,0,,0,,0
10,Vizzit,1062.0,54.0,19.67,Appartement,2 pièce - 54 m² - s,69007,Lyon,45.7304,4.83994,https://www.vizzit.fr/fr/property/appartement/lyon-7/Aoe3nl78d9vl6z3m,,,Gerland,T2,3479.0,0,2387.0,0,4341.0,0,2693.0,0,1854.0,0,3051.0,0,848.0,0,3423.0,0,1595.0,0,449.0,1,2271.0,0,5229.0,0,685.0,0,530.0,0,499.0,1,,0,,0,,0,,0,,0
