id_annonce,site,prix,surface,prix_m2,description,cp,ville,url
667ab7cbf628,lyon,4359,0.0,0.0,Et si vous étiez éligible au logement intermédiaire ou social ?   https://www.acceslogement.fr/annonce/vente/appartement/lyon-69-g43590?origine=recher,69000,Lyon,https://www.acceslogement.fr/annonce/vente/appartement/lyon-69-g43590?origine=recherche-pap&utm_source=pap&utm_medium=link&utm_campaign=pap_bannieres_appartment
58bc65ea2412,lyon,0,0.0,0.0,Exclusivité PAP N/C  https://www.pap.fr/pass-avant-premiere,69000,Lyon,https://www.pap.fr/pass-avant-premiere
62a59af694d7,lyon,595,0.0,0.0,"Appartement à louer 595 € Lyon 3ème 5 pièces, 4 chambres, 5ème étage https://www.seloger.com/annonces/locations/appartement/lyon-3eme-69/villette/2569",69992,Lyon,https://www.seloger.com/annonces/locations/appartement/lyon-3eme-69/villette/256999219.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D8#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L
1b8174a9e6a7,lyon,0,0.0,0.0,Signer un contrat de location N/C  https://www.pap.fr/outils/atelier/detail?origine=liste-location&slug=signer-contrat-location,69000,Lyon,https://www.pap.fr/outils/atelier/detail?origine=liste-location&slug=signer-contrat-location
cfc16356594e,lyon,0,0.0,0.0,Lutte anti-fraude N/C  https://www.pap.fr/lutte-contre-la-fraude,69000,Lyon,https://www.pap.fr/lutte-contre-la-fraude
fb816ad0d72f,lyon,2580,147.0,17.55,Visite virtuellepar moisLocationLocation Maison 6 pièces 147 m2Lyon 9- ChampvertMessage5 chambresBal 2 580 € conTerrasseBon étatGarageNon meubléFavori,69009,Lyon 9ème,https://www.orpi.com/annonce-location-maison-t6-lyon-9-69009-f4364878-b5b6-4471-abd4-097d70722d8f/
4a5d150e682c,lyon,745,47.0,15.85,par moisLocationLocation Appartement 2 pièces 47 m2Lyon 3- Grange BlancheMessage1 chambreCaveBon éta 745 € tNon meubléAscenseurEtage : 3 https://www.o,69003,Lyon 3ème,https://www.orpi.com/annonce-location-appartement-t2-lyon-3-69003-d7a420fc-8ae5-42ef-be30-b745cf06c961/
0fac7fd112ca,lyon,745,47.0,15.85,Exclusivitépar moisLocationLocation Appartement 2 pièces 47 m2Lyon 3- Grange BlancheMessage1 chambre 745 € CaveBon étatNon meubléAscenseurEtage : 3Fav,69003,Lyon 3ème,https://www.orpi.com/annonce-location-appartement-t2-lyon-3-69003-d7a420fc-8ae5-42ef-be30-b745cf06c961/
9f025579770f,lyon,1406,55.0,25.56,par moisLocationLocation Appartement 4 pièces 55 m2Lyon 4- Place des TapisMessage3 chambresBon étatN 1 406 € on meubléEtage : 1 https://www.orpi.com/a,69004,Lyon 4ème,https://www.orpi.com/annonce-location-appartement-t4-lyon-4-69004-12398bce-de08-40f9-a1b2-48bb3c310890/
f3ab7d88ad69,lyon,1406,55.0,25.56,Exclusivitépar moisLocationLocation Appartement 4 pièces 55 m2Lyon 4- Place des TapisMessage3 chambr 1 406 € esBon étatNon meubléEtage : 1Favoris http,69004,Lyon 4ème,https://www.orpi.com/annonce-location-appartement-t4-lyon-4-69004-12398bce-de08-40f9-a1b2-48bb3c310890/
6982400f1d83,lyon,2580,147.0,17.55,par moisLocationLocation Maison 6 pièces 147 m2Lyon 9- ChampvertMessage5 chambresBalconTerrasseBon é 2 580 € tatGarageNon meublé https://www.orpi.com/,69009,Lyon 9ème,https://www.orpi.com/annonce-location-maison-t6-lyon-9-69009-f4364878-b5b6-4471-abd4-097d70722d8f/
5b5fcd6552ae,lyon,1173,66.0,17.77,Exclusivitépar moisLocationLocation Appartement 2 pièces 66 m2Lyon 5- Vieux LyonMessage1 chambreÀ ra 1 173 € fraîchirMeubléAscenseurEtage : 6Favoris h,69005,Lyon 5ème,https://www.orpi.com/annonce-location-appartement-t2-lyon-5-69005-a9a0ccde-70e6-4319-a5c9-371b5a365fbe/
489088ee63f4,lyon,1173,66.0,17.77,par moisLocationLocation Appartement 2 pièces 66 m2Lyon 5- Vieux LyonMessage1 chambreÀ rafraîchirMeu 1 173 € bléAscenseurEtage : 6 https://www.orpi.co,69005,Lyon 5ème,https://www.orpi.com/annonce-location-appartement-t2-lyon-5-69005-a9a0ccde-70e6-4319-a5c9-371b5a365fbe/
77e58a56c1cf,lyon,1170,66.0,17.73,ExclusivitéVisite virtuellepar moisLocationLocation Appartement 3 pièces 66 m2Lyon 9- Gare de VaiseM 1 170 € essage2 chambresBalconCaveBon étatNon meu,69009,Lyon 9ème,https://www.orpi.com/annonce-location-appartement-t3-lyon-9-69009-093f2850-d925-4c45-a0d8-576771a590c5/
bf6f5db5c55d,lyon,535,18.0,29.72,par moisLocationLocation Appartement 1 pièce 18 m2Lyon 9- Gare de VaiseMessageStudioBon étatMeubléEt 535 € age : 1 https://www.orpi.com/annonce-locati,69009,Lyon 9ème,https://www.orpi.com/annonce-location-appartement-t1-lyon-9-69009-341935b8-6545-476b-99bf-c3516ef981ff/
8784bb8be329,lyon,535,18.0,29.72,Visite virtuellepar moisLocationLocation Appartement 1 pièce 18 m2Lyon 9- Gare de VaiseMessageStudio 535 € Bon étatMeubléEtage : 1Favoris https://www.,69009,Lyon 9ème,https://www.orpi.com/annonce-location-appartement-t1-lyon-9-69009-341935b8-6545-476b-99bf-c3516ef981ff/
0f13983ed071,lyon,2371,163.0,14.55,par moisLocationLocation Appartement 5 pièces 163 m2Lyon 6- Les BrotteauxMessage4 chambresBon étatNo 2 371 € n meubléAscenseurEtage : 1 https://www.or,69006,Lyon 6ème,https://www.orpi.com/annonce-location-appartement-t5-lyon-6-69006-08b67683-96b2-47aa-acf9-c97e3284d75d/
4afb74d87a79,lyon,2371,163.0,14.55,ExclusivitéVisite virtuellepar moisLocationLocation Appartement 5 pièces 163 m2Lyon 6- Les Brotteaux 2 371 € Message4 chambresBon étatNon meubléAscens,69006,Lyon 6ème,https://www.orpi.com/annonce-location-appartement-t5-lyon-6-69006-08b67683-96b2-47aa-acf9-c97e3284d75d/
37c909be3614,lyon,1090,71.0,15.35,Exclusivitépar moisLocationLocation Appartement 3 pièces 71 m2Lyon 8- Monplaisir - Frères LumièreMes 1 090 € sage2 chambresTerrasseBon étatNon meubléR,69008,Lyon 8ème,https://www.orpi.com/annonce-location-appartement-t3-lyon-8-69008-f5536bf6-e179-4317-8076-3fe83848fc34/
dcbb2b865566,lyon,1406,55.0,25.56,Vous souhaitez vendre un bien prochainement ?Estimez-le en ligne en 5 minutes chronoEstimer mon loye 1 406 € rExclusivitépar moisLocationLocation Appa,69004,Lyon 4ème,https://www.orpi.com/estimer/estimation-valeur-locative/
dc39e9c162f8,lyon,1090,71.0,15.35,par moisLocationLocation Appartement 3 pièces 71 m2Lyon 8- Monplaisir - Frères LumièreMessage2 chamb 1 090 € resTerrasseBon étatNon meubléRez-de-chaus,69008,Lyon 8ème,https://www.orpi.com/annonce-location-appartement-t3-lyon-8-69008-f5536bf6-e179-4317-8076-3fe83848fc34/
e0d9aa37cf1c,lyon,1170,66.0,17.73,par moisLocationLocation Appartement 3 pièces 66 m2Lyon 9- Gare de VaiseMessage2 chambresBalconCaveB 1 170 € on étatNon meubléAscenseur https://www.or,69009,Lyon 9ème,https://www.orpi.com/annonce-location-appartement-t3-lyon-9-69009-093f2850-d925-4c45-a0d8-576771a590c5/
9a2503e13407,lyon,1185,54.0,21.94,Exclusivitépar moisLocationLocation Appartement 2 pièces 54 m2Lyon 2- ConfluenceMessage1 chambreBalc 1 185 € onTerrasseBon étatNon meubléAscenseurFavo,69002,Lyon 2ème,https://www.orpi.com/annonce-location-appartement-t2-lyon-2-69002-f0bbc7de-b457-49aa-a57d-d34d9cbb4068/
4b8a6731393f,lyon,950,48.0,19.79,Visite virtuellepar moisLocationLocation Appartement 2 pièces 48 m2Lyon 9- Gare de VaiseMessage1 cha 950 € mbreBalconBon étatMeubléAscenseurEtage : 2F,69009,Lyon 9ème,https://www.orpi.com/annonce-location-appartement-t2-lyon-9-69009-881b831d-67b0-4584-836b-3b46189d06ab/
